community,shape_area,area_num_1,shape_len,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,AVG_VMT,OPEN_SPACE_PER_1000,Sfperc,Mfperc,MIXperc,COMMperc,INSTperc,INDperc,TRANSperc,Agperc,OPENperc,VACperc,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,PopDens,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,OV65
DOUGLAS,46004621.16,35,31027.05451,26470,18238,20781,0.212309321,0.310812762,0.172465233,0.160001925,7.651219864,4.253885761,2.535970358,0.334266536,0.110533661,0.031807901,0.708243107,0.127760935,0.021654396,17871,0.546639808,0.464775334,0.081864473,0.453360192,0.028537855,0.41710033,13957,0.114064627,0.194812639,0.204986745,0.064770366,0.223257147,0.198108476,0.30916386,0.136275704,0.106971412,0.058823529,0.044923694,0.03095221,319.0697674,9590,1811,7779,1196,10786,418,704,547,142,247071.4286,7165.906979,8.483252913,0.066835089,0.15802921,0.003347463,0.048570137,0.219301489,0.000770662,0.316393542,0,0.070907431,0.115844977,0.786295173,0.172513354,19925,0.772003272,0.186805255,0.077185891,0.772003272,0.024012319,0.002839132,0.05471344,0.002598528,0.007170011,0.006929407,0.016649824,0.053414176,0.018478418,1,1,0.486135989,0.666217834,0.000451715,10.3,42.2,0.117,0.76,0.102,0.342,0.136,0.343,2.699,0.332,1.191,0.091,0.134,0.745,0.855,0.621,4.822,0,10.633,0.042,0.261,0.016,0.31,0.169,23098,0.167,0.14441076
OAKLAND,16913961.04,36,19565.50615,6110,5918,6645,0.333333333,0.184349135,0.233860045,0.149736644,6.696764485,2.30248307,0.872836719,0.337811203,0.025884123,0.048758465,0.896764485,0.021068473,0.007524454,4917,0.658938377,0.51027049,0.148667887,0.341061623,0.029692902,0.461866992,3874,0.155394941,0.237222509,0.257614868,0.066855963,0.154362416,0.128549303,0.344863191,0.18043366,0.102219928,0.044914817,0.046463604,0.038461538,282.9145729,2934,486,2448,273,3207,71,208,144,63,263265.3061,8067.038853,8.019721121,0.06902639,0.152697289,0.000383314,0.006141936,0.170415137,0,0.314901635,0,0.179323209,0.10711109,0.842889391,0.091045899,6206,0.812791573,0.121143717,0.016102333,0.812791573,0.044544771,0.001203913,0,0.001805869,0,0,0.004213695,0.010985704,0.058389767,1,1,0.349767682,0.793322734,0.000392871,17.5,63.9,0.135,0.75,0.115,0.545,0.189,0.206,1.597,0.145,0.887,0.126,0.082,0.545,0.542,0.437,4.354,0.003,16.554,0.067,0.381,0.035,0.405,0.176,19312,0.266,0.098720843
FULLER PARK,19916704.87,37,25339.08975,3420,2876,2439,0.161131611,0.193521935,0.148421484,0.236162362,16.11316113,6.232062321,3.73103731,0.497007042,0.030750308,0.070930709,0.891758918,0.004920049,0.001640016,2077,0.44727973,0.312951372,0.134328358,0.55272027,0.001444391,0.299951854,1815,0.263911846,0.363085399,0.170798898,0.073829201,0.075482094,0.052341598,0.320661157,0.150413223,0.055647383,0.024793388,0.035261708,0.003856749,233.5714286,1072,364,712,441,1517,265,81,5,10,115983.6066,7902.463211,3.236460406,0.06077441,0.060868245,0.008564364,0.036541775,0.043940457,0.074744707,0.574755616,0,0.024613029,0.115197397,0.913489135,0.043460435,2334,0.885608856,0.070930709,0.028700287,0.885608856,0.060270603,0,0.002050021,0,0.000410004,0,0,0.005740057,0.002460025,0.745870149,0.936175504,0.199955815,0.635124268,0.00012246,11.9,60.4,0.171,0.714,0.143,0.692,0.496,0.085,2.589,0.211,1.117,0.226,0.226,0.896,0.705,0.824,4.899,0.025,10.619,0,0.555,0.045,0.382,0.337,9016,0.4,0.260762608
GRAND BOULEVARD,48492503.16,38,28196.83716,28006,21929,22313,0.264823197,0.193250571,0.216958724,0.178774705,8.546587191,4.575807825,1.496885224,0.376959654,0.027024604,0.017344149,0.920808497,0.003943889,0.03087886,17566,0.60810657,0.497267448,0.110155983,0.39189343,0.018786292,0.461061141,14832,0.149339266,0.211502157,0.277170982,0.074973031,0.157160194,0.129854369,0.301442826,0.135113269,0.091423948,0.059937972,0.051375405,0.043082524,319.7013487,10121,2409,7914,2006,12329,879,953,463,114,193087.1212,9082.341974,3.993456955,0.056005225,0.229204564,0.006567984,0.038042947,0.101187058,0.007341973,0.339672484,0,0.020219273,0.201758491,0.904629588,0.021915475,20674,0.893694259,0.032850804,0.009949357,0.893694259,0.017792318,0.001299691,0.00116524,0.001120423,0,0,0,0.00815668,0.003316452,1,1,0.361987594,0.761223558,0.000460133,14.3,58.2,0.127,0.742,0.137,0.548,0.321,0.226,2.183,0.277,0.826,0.258,0.121,0.638,0.39,0.467,5.904,0.01,14.546,0.132,0.283,0.027,0.417,0.194,22056,0.206,0.146192802
KENWOOD,29071741.93,39,23325.16791,18363,17841,17189,0.184420269,0.275815929,0.184885683,0.17761359,10.07039386,5.369713189,2.286345919,0.376761942,0.169468846,0.023096166,0.682064111,0.092035604,0.033335273,14471,0.623039182,0.555524843,0.067514339,0.376960818,0.041254924,0.498652477,12674,0.074640997,0.121824207,0.175398454,0.067224239,0.241991479,0.318920625,0.260217769,0.130897901,0.09207827,0.05980748,0.087738678,0.093656304,440.8798283,9181,2986,6195,1246,10427,830,942,639,443,227738.5159,8361.182119,6.805665299,0.200570704,0.192230955,0.000689994,0.039071716,0.08115558,0.000911955,0.269058758,0,0.185636642,0.030673695,0.823026354,0.119495026,16201,0.807202281,0.135319099,0.040025598,0.807202281,0.023619757,0.005934028,0.048344872,0.004363256,0.00232707,0.006864855,0.015824074,0.014427832,0.013613357,1,1,0.628136342,0.746445498,0.000591261,12.2,51.1,0.114,0.776,0.119,0.257,0.152,0.309,1.964,0.342,0.455,0.174,0.089,0.491,0.462,0.315,3.979,0.004,6.102,0,0.231,0.023,0.342,0.108,37519,0.11,0.17726453
LINCOLN SQUARE,71352328.24,4,36624.60308,44574,39493,41715,0.176339446,0.321994486,0.249982021,0.159750689,5.223540693,2.394822006,1.574973031,0.350791031,0.642023253,0.167277958,0.038211674,0.111470694,0.041016421,35365,0.761034922,0.728856214,0.032178708,0.238965078,0.047928743,0.666987134,32285,0.076970729,0.120923029,0.130927675,0.042961127,0.380734087,0.247483351,0.088400186,0.112745857,0.094192349,0.074864488,0.097630479,0.098869444,717.3693086,18296,7552,10744,1407,19703,726,2121,2535,2057,355326.5694,9594.689266,1.92710545,0.136909536,0.211591722,0.021326617,0.033233893,0.233745574,0.025253391,0.278599319,0,0.050467676,0.008872271,0.695601103,0.225530385,38425,0.61148268,0.309648807,0.108450198,0.61148268,0.125038955,0.032434376,0.007263574,0.029365936,0.015006592,0.008558073,0.038115786,0.04012945,0.013736066,1,1,0.671178566,0.851231818,0.000584634,17.1,61,0.081,0.805,0.097,0.384,0.05,0.217,1.532,0.086,0.554,0.061,0.038,0.431,0.276,0.369,2.733,0.004,0.988,0.085,0.095,0.031,0.256,0.125,35503,0.068,0.091933357
WASHINGTON PARK,42373881.48,40,28175.31609,14146,11717,11502,0.37280473,0.237871674,0.167883846,0.147539558,3.642844723,1.964875674,1.782298731,0.292334096,0.007390019,0.02416971,0.93548948,0.00121718,0.031733612,7870,0.604447268,0.463913596,0.140533672,0.395552732,0.016772554,0.429479034,6491,0.177476506,0.311970421,0.279155754,0.051763981,0.124017871,0.055615468,0.331381913,0.174549376,0.088122015,0.033430904,0.033739023,0.006470498,253.8461538,4334,584,3750,1342,5676,301,199,57,27,129545.4545,6788.037152,8.810363887,0.015714991,0.132480835,0.005287431,0.021456036,0.047957518,0.009353165,0.236195831,0,0.358779002,0.172775191,0.866718832,0.014432273,10135,0.841940532,0.039210572,0.013823683,0.841940532,0.029299252,0,0,0.000521648,0,0,0.000434707,0.006085898,0.002869066,1,0.896178969,0.231397319,0.709302326,0.000271441,19.3,72.1,0.177,0.749,0.169,0.826,0.446,0.26,2.58,0.319,0.882,0.395,0.193,0.798,0.67,0.433,5.024,0.004,21.458,0.05,0.391,0.049,0.409,0.283,13087,0.232,0.073900191
HYDE PARK,45105380.17,41,29746.7082,29920,25681,26827,0.197524882,0.365378164,0.150519999,0.150035412,8.163417453,4.025794908,1.464942036,0.312027453,0.464196518,0.083721624,0.274574123,0.132664853,0.044842882,23926,0.615648249,0.574312463,0.040959626,0.384351751,0.040332692,0.513583549,17023,0.033954062,0.068789285,0.116195735,0.033719086,0.252658168,0.494683663,0.217881689,0.135874993,0.128943195,0.079774423,0.072960113,0.104858133,526.2711864,12602,4575,8027,1673,14275,1188,1408,1011,901,264959.0164,7210.298045,15.58916719,0.095511217,0.172056137,0.006235968,0.038700603,0.169456667,0,0.243640694,0,0.269991715,0.004407,0.762403549,0.198121296,25768,0.705334178,0.255190666,0.061244269,0.705334178,0.069407686,0.009579901,0.067432065,0.004174898,0.009542625,0.009281694,0.02079994,0.048421367,0.01655049,1,1,0.781060918,0.719507417,0.000594763,9.7,33.9,0.059,0.803,0.055,0.076,0.058,0.336,1.44,0.117,0.34,0.05,0.104,0.349,0.241,0.26,3.69,0,2.166,0.053,0.182,0.025,0.267,0.053,39243,0.069,0.136541544
WOODLAWN,57815179.51,42,46936.95924,27086,23740,23268,0.319537562,0.224170535,0.170663572,0.172468626,7.27608733,2.759154203,1.280728898,0.315384615,0.088146811,0.029869348,0.828562833,0.030556988,0.022864019,18010,0.523986674,0.431593559,0.092393115,0.476013326,0.024930594,0.395724597,13462,0.142103699,0.219655326,0.274773436,0.098276631,0.139280939,0.125909969,0.342371119,0.146189274,0.075025999,0.053335314,0.045387015,0.024587728,251.222597,9247,1970,7277,2763,12010,899,844,187,40,158884.2975,8098.715749,7.808502817,0.048228951,0.191460256,0.004842968,0.026756925,0.106598862,0.00284076,0.257392418,0,0.269657388,0.092221472,0.869348461,0.051401066,21424,0.84532405,0.075425477,0.021273853,0.84532405,0.021789582,0.002105897,0.013666839,0.001504212,0.000386797,0.002277806,0.002578649,0.017362902,0.013752794,1,0.9799779,0.38417743,0.674900071,0.000402455,15.1,60.1,0.174,0.733,0.163,0.511,0.311,0.329,2.413,0.239,0.821,0.25,0.115,0.698,0.58,0.6,4.443,0.016,13.82,0.174,0.283,0.018,0.376,0.179,18928,0.173,0.113159704
ROGERS PARK,51259902.45,1,34052.39758,63484,54991,55062,0.21125277,0.310849588,0.228106498,0.162453235,5.007082925,2.475391377,1.251316698,0.33972649,0.431404598,0.219243762,0.263720896,0.050706476,0.034924267,46136,0.702509971,0.648018901,0.053819143,0.297490029,0.035590428,0.602718051,38080,0.137368697,0.201917017,0.190703782,0.046008403,0.247741597,0.176260504,0.214784664,0.16664916,0.100919118,0.059742647,0.055540966,0.034926471,391.061828,24088,5746,18342,3485,27573,1903,2355,1030,425,192278.5548,7580.681501,1.39357587,0.124047504,0.316890006,0.018549535,0.051667977,0.068269668,0.042422128,0.315602446,0,0.058718759,0.003831977,0.67278704,0.269314591,51874,0.583487705,0.358613926,0.158221641,0.583487705,0.192691875,0.026333951,0.008227089,0.003813883,0.011096582,0.002524427,0.008717446,0.05386655,0.051342123,1,1,0.470010504,0.794075762,0.001074173,16.4,62,0.11,0.73,0.112,0.408,0.077,0.233,1.769,0.253,0.771,0.052,0.064,0.367,0.217,0.337,3.647,0.005,3.225,0.114,0.227,0.079,0.288,0.181,23714,0.075,0.08733791
JEFFERSON PARK,64868161.68,11,44011.95717,25859,25448,26808,0.210757983,0.198037899,0.214003283,0.217062071,9.015965383,4.96493584,2.032975231,0.4078053,0.653610862,0.221874067,0.008803342,0.092360489,0.023351238,22200,0.673963964,0.63527027,0.038693694,0.326036036,0.017162162,0.59972973,19787,0.110426037,0.252236317,0.199575479,0.081922474,0.233335018,0.122504675,0.086268762,0.095466721,0.091575277,0.084550462,0.098296862,0.067367463,714.5919421,10359,6559,3800,815,11174,497,2996,2824,215,291623.6162,13924.67335,0.850043272,0.336687766,0.118354176,0.006906382,0.038887655,0.017652679,0.033928005,0.352883677,0,0.089661249,0.005038411,0.65875858,0.279245001,25146,0.536220531,0.40178305,0.181960609,0.536220531,0.154468815,0.124962698,0.011712922,0.017009848,0.009474784,0.003021486,0.03375858,0.045844524,0.001529394,0.976898787,0.998290822,0.437762167,0.835220872,0.000413269,13.8,67.8,0.066,0.829,0.077,0.286,0.048,0.184,2.082,0.232,0.492,0.042,0.083,0.557,0.321,0.419,2.368,0.002,,0.071,0.064,0.019,0.344,0.135,27280,0.09,0.160138765
FOREST GLEN,89130893.64,12,74493.8216,18165,18508,19019,0.265050739,0.133708397,0.215626479,0.207792208,8.875335191,6.372574794,2.529049897,0.429872881,0.706872075,0.137388927,0.009884852,0.125926705,0.019874862,14654,0.659683363,0.634570766,0.025112597,0.340316637,0.028865839,0.592056776,13254,0.055153161,0.151350536,0.153236759,0.046023842,0.332126151,0.262034103,0.052210653,0.067074091,0.061641769,0.050098084,0.105779387,0.176022333,1103.654791,6797,6050,748,435,7234,372,942,2724,1972,424136.6642,16459.52238,2.698422645,0.401891042,0.016199483,0.002947172,0.023239373,0.020934808,0.005078265,0.29590747,0,0.230398328,0.003404058,0.744150586,0.189074084,17749,0.641674115,0.291603134,0.090751354,0.641674115,0.082601609,0.045638572,0.008833272,0.027078185,0.002681529,0.014511804,0.032914454,0.063199958,0.014143751,0.866441156,0.810544917,0.640243674,0.827563581,0.000213383,10,60.6,0.076,0.793,0.103,0.063,0.033,0.25,1.387,0.143,0.372,0.062,0.038,0.27,0.203,0.31,1.608,0,,0.022,0.061,0.013,0.406,0.063,41509,0.055,0.177769599
NORTH PARK,70288706.43,13,41581.94865,18514,17931,18842,0.244188515,0.209797261,0.188833457,0.151629339,9.898099989,7.33998514,3.317057637,0.384987894,0.519530835,0.167391997,0.028712451,0.249601953,0.034762764,15110,0.608802118,0.565982793,0.042819325,0.391197882,0.022700199,0.525413633,12931,0.126363004,0.189467172,0.164488439,0.052896141,0.306782151,0.160003093,0.117624314,0.110432294,0.076482871,0.064032171,0.064418838,0.070760189,560.8695652,6514,3193,3321,521,7035,314,1243,1295,301,302124.183,12545.36996,5.78007768,0.15545137,0.153594549,0.003231569,0.049120864,0.242300205,0.043586948,0.195969323,0,0.151565937,0.005179236,0.530782295,0.398206135,17504,0.396507802,0.532480628,0.2375544,0.396507802,0.115009022,0.04903938,0.016877189,0.036832608,0.061723809,0.030092347,0.038902452,0.152213141,0.03179068,0.893110637,0.799456374,0.519681386,0.80160108,0.000268066,10.9,54.2,0.097,0.791,0.102,0.105,0.03,0.204,1.437,0.219,0.589,0.031,0.054,0.347,0.146,0.267,3.173,0.004,,0.089,0.124,0.038,0.397,0.182,24941,0.075,0.205551428
ALBANY PARK,53542230.82,14,39339.01644,57655,51542,51992,0.255789352,0.269868441,0.224226804,0.156447146,5.006539468,3.025465456,1.334820742,0.336657332,0.300200031,0.479439144,0.046180182,0.144945376,0.029235267,41342,0.70688404,0.655459339,0.049828262,0.29311596,0.02222921,0.622006676,34480,0.215806265,0.245881671,0.147737819,0.053451276,0.219866589,0.117256381,0.101740139,0.106264501,0.087935035,0.063602088,0.067459397,0.053364269,581.2820513,16563,6738,9825,1677,18240,921,2652,2284,796,289763.289,11783.64945,1.660925123,0.246409856,0.240430963,0.028084954,0.06104993,0.043773182,0.016424311,0.336509071,0,0.022863511,0.004454222,0.511232497,0.419545315,48393,0.331435605,0.599342206,0.311990306,0.331435605,0.402138791,0.018618249,0.004712263,0.038986767,0.01475227,0.013348207,0.034312971,0.059316818,0.01315587,1,1,0.390574246,0.807083937,0.000971047,18.3,76.5,0.085,0.733,0.083,0.445,0.047,0.229,1.581,0.168,0.721,0.053,0.049,0.369,0.131,0.391,3.741,0.012,0.729,0.168,0.171,0.112,0.321,0.349,20355,0.09,0.093668257
PORTAGE PARK,110196097.1,15,46520.64214,65340,64124,64307,0.228824234,0.226724929,0.211889841,0.211065669,6.69445006,3.81451475,1.642122942,0.37947515,0.502651344,0.40765391,0.014010916,0.050694326,0.024989503,52439,0.697820325,0.648563092,0.048723278,0.302198745,0.019680009,0.621750987,45040,0.152531083,0.288232682,0.194227353,0.079240675,0.187655417,0.098134991,0.094515986,0.104440497,0.101820604,0.069871226,0.073756661,0.059347247,613.9254837,22689,13010,9679,2331,25021,1483,6388,4782,278,273610.5896,14621.00913,1.144386678,0.370056273,0.15861799,0.016659582,0.057603037,0.035612347,0.008595594,0.320935213,0,0.027694722,0.004225241,0.625701712,0.31663738,60599,0.406627583,0.535711509,0.2275491,0.406627583,0.315719906,0.11815199,0.003732098,0.028706051,0.01719875,0.002223708,0.006266814,0.037616434,0.006080209,1,1,0.365013877,0.82630994,0.000583569,14.2,66.1,0.069,0.798,0.087,0.417,0.033,0.233,1.687,0.159,0.482,0.047,0.047,0.449,0.148,0.379,2.873,0.005,0.877,0.04,0.123,0.044,0.346,0.187,23617,0.106,0.121510878
IRVING PARK,89611382.31,16,49083.22409,58643,53359,54606,0.22949859,0.256986412,0.24070615,0.178496868,5.585466799,2.911767938,0.933963301,0.357219722,0.417280152,0.434091492,0.027084936,0.087646046,0.033897374,44212,0.709943002,0.667986067,0.041029585,0.290056998,0.040848638,0.616868723,38704,0.144997933,0.226229847,0.175459901,0.06061389,0.259766432,0.132931997,0.082859653,0.135386523,0.09797437,0.065032038,0.071775527,0.069811906,595.3767123,20236,9595,10641,2290,22526,1149,3831,2821,1736,291451.0914,12749.05106,1.180333398,0.249267103,0.196261663,0.022959375,0.050651654,0.034570209,0.033295608,0.361320355,0,0.045997364,0.005676669,0.621946306,0.304581914,50594,0.44852214,0.47800608,0.211295462,0.44852214,0.335054756,0.032121012,0.003735853,0.039757536,0.018496136,0.001611545,0.010383474,0.032468959,0.004376808,1,1,0.453312319,0.813048424,0.000609365,15.8,67.1,0.077,0.799,0.102,0.37,0.041,0.299,1.694,0.192,0.602,0.057,0.053,0.413,0.179,0.42,3.335,0.006,1.596,0.093,0.108,0.056,0.316,0.22,26713,0.103,0.09431198
DUNNING,103595001.2,17,54555.99253,42164,41932,43689,0.232667262,0.197097668,0.195243654,0.211037103,9.498958548,4.580100254,2.316372542,0.410445933,0.644670283,0.2802765,0.018471469,0.050401703,0.006180045,35626,0.659181497,0.623421097,0.033627126,0.340818503,0.008589233,0.607112783,31426,0.125055686,0.319830713,0.228377776,0.083943232,0.169191116,0.073601476,0.08671164,0.108508878,0.084038694,0.083370458,0.088557246,0.045726469,659.4763092,15616,11505,4111,1008,16624,1367,7746,2148,227,237876.8441,14750.45236,1.048829685,0.425343616,0.058179863,0.009126936,0.028606141,0.150536865,0.012330594,0.26965191,3.61E-05,0.030835497,0.015352435,0.638902241,0.30016709,41027,0.44915196,0.489917371,0.190574286,0.44915196,0.197601227,0.198059008,0.004188697,0.025498409,0.006202934,0.000503559,0.004303143,0.051408821,0.002151571,0.940533384,0.985261997,0.326735824,0.811122492,0.000421729,12.5,64.7,0.068,0.827,0.099,0.199,0.037,0.237,1.915,0.259,0.425,0.052,0.049,0.539,0.244,0.32,2.339,0.001,,0.024,0.083,0.048,0.349,0.18,26347,0.086,0.163954313
MONTCLARE,27576393.63,18,22404.85214,12646,13426,13830,0.24736081,0.218293565,0.192190889,0.191395517,8.843094722,4.396240058,1.843817787,0.376241722,0.32791034,0.584815618,0.037454808,0.032393348,0.017353579,11122,0.607624528,0.560420788,0.045225679,0.392375472,0.008901277,0.540280525,9383,0.224661622,0.320260045,0.216775019,0.085793456,0.096983907,0.055632527,0.123201535,0.127997442,0.064052009,0.061920495,0.070233401,0.036342321,481.223176,4538,2826,1711,531,5068,356,1747,677,47,225464.8074,14282.28786,1.273575786,0.393553744,0.104921071,0.00920531,0.087129941,0.045062073,0.031317715,0.305132176,0,0.016515493,0.007162476,0.641576283,0.293853941,12937,0.315979754,0.61945047,0.264714389,0.315979754,0.446854664,0.119595083,0.000650759,0.00845987,0.001229212,0.00021692,0.009255242,0.032682574,0.000506146,1,1,0.23809083,0.748213438,0.000501516,17.1,83.5,0.083,0.776,0.088,0.615,0.086,0.299,1.51,0.154,0.896,0.065,0.046,0.334,0.219,0.403,3.155,0.009,,0.03,0.128,0.058,0.35,0.284,21257,0.108,0.150831526
BELMONT CRAGIN,109099414.7,19,43311.70738,78144,78743,79910,0.309035165,0.2232887,0.218583406,0.162632962,5.315980478,2.350143912,0.978600926,0.328903315,0.134463772,0.810687023,0.026317107,0.01954699,0.008997622,60172,0.678820714,0.616000798,0.062537393,0.321179286,0.011550223,0.592817257,49217,0.360729016,0.304630514,0.15295528,0.053721275,0.090862913,0.037080684,0.110490278,0.124387915,0.090761322,0.045715911,0.055306093,0.022451592,472.6293103,22105,11204,10902,2273,24379,2025,7327,1645,151,218502.2866,13727.45007,0.888154331,0.284247245,0.153852194,0.019260182,0.096747989,0.05852566,0.048454772,0.309710963,0,0.025864538,0.003336457,0.532261294,0.390664498,73751,0.162908272,0.76001752,0.342572895,0.162908272,0.681354023,0.050244025,0,0.013778,0.005030659,0.000437993,0.003353773,0.005068202,0.000750845,1,1,0.181722127,0.784830424,0.000732451,20,88.6,0.069,0.741,0.076,0.682,0.07,0.144,1.526,0.177,0.586,0.055,0.056,0.378,0.273,0.382,4.215,0.008,0.959,0.094,0.186,0.1,0.369,0.37,15246,0.115,0.086447253
WEST RIDGE,98429094.86,2,43020.68946,73199,71942,76215,0.272334842,0.223906055,0.196824772,0.179072361,7.165256183,3.823394345,1.797546415,0.352510075,0.42213475,0.187049793,0.120724267,0.22567736,0.044413829,58939,0.646787356,0.591425033,0.055362324,0.353212644,0.018391897,0.560918916,51002,0.17477746,0.217246382,0.156444845,0.054429238,0.249931375,0.147170699,0.11546606,0.13215168,0.082683032,0.052448924,0.064291596,0.046939336,498.5533454,25194,11738,13456,2991,28185,3321,3691,3655,1050,247506.3939,12110.68445,2.95752177,0.244835323,0.22646007,0.01209706,0.061967847,0.074809337,0.001143645,0.290145789,0,0.083434952,0.005105979,0.494443351,0.427776684,70287,0.383205406,0.53901463,0.25794135,0.383205406,0.141848717,0.043337926,0.010221085,0.022147871,0.038798137,0.007478843,0.035557305,0.175044283,0.064580463,1,1,0.451531313,0.771929824,0.000774314,17.3,83.3,0.081,0.711,0.083,0.299,0.058,0.202,1.559,0.173,0.605,0.037,0.051,0.36,0.142,0.347,3.314,0.01,1.41,0.089,0.151,0.07,0.383,0.196,21375,0.079,0.127861969
HERMOSA,32602059.41,20,27179.01744,26908,25010,24144,0.284294235,0.25898774,0.188369781,0.174411862,5.752982107,2.663187541,0.977468522,0.325810185,0.091327038,0.84778827,0.031187873,0.018223989,0.01147283,18519,0.690912036,0.63999136,0.050920676,0.309087964,0.017981532,0.617041957,15203,0.380517003,0.248832467,0.167993159,0.053739394,0.099585608,0.049332369,0.130960995,0.137341314,0.070446622,0.051305663,0.047227521,0.024600408,395.9064327,7022,3186,3836,770,7792,505,1997,601,83,228468.2081,13085.14868,0.704651509,0.223112411,0.195513376,0.019251756,0.035209475,0.025484201,0.149175782,0.32808322,0,0.020745517,0.003424262,0.565937707,0.350853214,22135,0.176068588,0.740722333,0.349652087,0.176068588,0.704108681,0.019797879,0,0.004928761,0.000372763,0.00111829,0.004307488,0.005425779,0.000662691,1,1,0.20265737,0.795030642,0.000740567,20.3,86.7,0.067,0.775,0.088,0.697,0.127,0.184,1.352,0.156,0.636,0.118,0.093,0.277,0.256,0.276,3.947,0.007,1.545,0.158,0.191,0.084,0.363,0.419,15411,0.129,0.093936382
AVONDALE,55290595.47,21,34261.9334,43083,39262,37368,0.22896596,0.328917791,0.209992507,0.133188825,5.962320702,2.718903875,1.21226718,0.327231579,0.343689788,0.575117748,0.020980518,0.041131449,0.019080497,30369,0.693404458,0.655141756,0.038262702,0.306595542,0.02716586,0.619414535,26184,0.234723495,0.228383746,0.151390162,0.053696914,0.210739383,0.1210663,0.114000917,0.134318668,0.089252979,0.059960281,0.062289948,0.049457684,517.026749,13335,4934,8401,1774,15109,511,2088,1759,523,291649.1043,12853.07505,0.874526544,0.127080881,0.245910853,0.027573492,0.079068924,0.021646219,0.103135043,0.3768838,0,0.006948016,0.011752772,0.611592807,0.325920574,35033,0.390922715,0.546590666,0.264557911,0.390922715,0.456326268,0.049534361,0.001177478,0.011373368,0.003131021,0.00032113,0.006342325,0.017903019,0.000481696,1,1,0.385502597,0.803702966,0.000675847,18.5,77.7,0.073,0.744,0.075,0.634,0.047,0.166,1.339,0.134,0.527,0.046,0.057,0.325,0.377,0.36,3.733,0.007,0.853,0.101,0.146,0.058,0.304,0.257,20489,0.093,0.098934918
LOGAN SQUARE,100057566.7,22,49213.42175,82715,72791,73046,0.209292774,0.377419708,0.227185609,0.118897681,3.953673028,2.065821537,0.700928182,0.318850202,0.459422829,0.435246283,0.050064343,0.032130438,0.023136106,60303,0.768535562,0.735834038,0.032485946,0.231464438,0.045006053,0.67973401,52189,0.111402786,0.190825653,0.122056372,0.053804442,0.330452777,0.19145797,0.10159229,0.102550346,0.092854816,0.074000268,0.091379409,0.096572075,703.3893986,29171,10850,18321,3223,32394,594,3202,4125,2799,363706.721,9716.676017,0.972002911,0.121052911,0.270460698,0.033316937,0.081929104,0.03081277,0.054516657,0.374174319,0,0.018038972,0.015697633,0.764901569,0.168113244,68153,0.602907757,0.330107056,0.151069189,0.602907757,0.285792514,0.013156093,0.00179339,0.005078991,0.002423131,0.002436821,0.002135641,0.014579854,0.002710621,1,1,0.576617311,0.852236947,0.00073004,18.2,63.5,0.072,0.782,0.094,0.661,0.086,0.092,1.487,0.137,0.757,0.102,0.043,0.377,0.175,0.319,3.644,0.009,2.09,0.084,0.172,0.032,0.267,0.185,29026,0.075,0.067204227
