,neighborhood_id,neighborhood,num_listings,price_norm,airport,art,artists,bars,beautiful,beer,bike,boardwalk,botanical,cafes,charming,chinese,churches,coffee,community,cute,diverse,family,ferry,food,friendly,galleries,garden,grocery,historic,hospitals,museum,museums,night,nightlife,parks,pier,pizza,quaint,quiet,residential,restaurants,safe,schools,seafood,shopping,shops,stadium,stores,train,views,walkability,zoo,kmean
0,1.0,Allerton,77,31.006369820655532,0.017857142857142856,0.0,0.0,0.0,0.05357142857142857,0.0,0.03571428571428571,0.0,0.25,0.0,0.017857142857142856,0.08928571428571429,0.0,0.0,0.25,0.0,0.017857142857142856,0.08928571428571429,0.0,0.14285714285714285,0.017857142857142856,0.0,0.23214285714285715,0.08928571428571429,0.0,0.08928571428571429,0.03571428571428571,0.0,0.017857142857142856,0.0,0.2857142857142857,0.0,0.03571428571428571,0.0,0.35714285714285715,0.125,0.3392857142857143,0.2857142857142857,0.0,0.0,0.16071428571428573,0.16071428571428573,0.08928571428571429,0.125,0.14285714285714285,0.0,0.0,0.42857142857142855,0
1,2.0,Arden Heights,5,28.169999999999998,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,3.0,Astoria,919,59.3244032506002,0.0423728813559322,0.020338983050847456,0.011864406779661017,0.488135593220339,0.0576271186440678,0.08305084745762711,0.005084745762711864,0.0,0.0,0.12372881355932204,0.011864406779661017,0.01694915254237288,0.001694915254237288,0.16271186440677965,0.05423728813559322,0.00847457627118644,0.16271186440677965,0.03728813559322034,0.00847457627118644,0.2559322033898305,0.07288135593220339,0.010169491525423728,0.05423728813559322,0.12203389830508475,0.00847457627118644,0.0,0.22542372881355932,0.05254237288135593,0.06440677966101695,0.04067796610169491,0.09830508474576272,0.0,0.006779661016949152,0.0,0.16101694915254236,0.03898305084745763,0.6966101694915254,0.22372881355932203,0.001694915254237288,0.015254237288135594,0.10677966101694915,0.20677966101694914,0.0,0.2033898305084746,0.13389830508474576,0.03898305084745763,0.0,0.003389830508474576,3
3,4.0,Bath Beach,27,40.01851851851852,0.05263157894736842,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.15789473684210525,0.05263157894736842,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.15789473684210525,0.15789473684210525,0.3684210526315789,0.15789473684210525,0.0,0.0,0.05263157894736842,0.15789473684210525,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,1
4,5.0,Financial District,832,84.43009386446887,0.029801324503311258,0.0016556291390728477,0.0,0.09602649006622517,0.033112582781456956,0.0033112582781456954,0.03145695364238411,0.0,0.0,0.023178807947019868,0.026490066225165563,0.004966887417218543,0.0,0.30132450331125826,0.0033112582781456954,0.006622516556291391,0.004966887417218543,0.008278145695364239,0.06291390728476821,0.04304635761589404,0.008278145695364239,0.0016556291390728477,0.0033112582781456954,0.32781456953642385,0.11258278145695365,0.0,0.039735099337748346,0.008278145695364239,0.029801324503311258,0.009933774834437087,0.0347682119205298,0.02152317880794702,0.0033112582781456954,0.0033112582781456954,0.04304635761589404,0.026490066225165563,0.22847682119205298,0.019867549668874173,0.0,0.0,0.10264900662251655,0.048013245033112585,0.0,0.02152317880794702,0.018211920529801324,0.07781456953642384,0.4900662251655629,0.0,3
5,6.0,Bay Terrace,6,124.81666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1
6,7.0,Bayside,41,33.4899099883856,0.0,0.037037037037037035,0.0,0.2222222222222222,0.18518518518518517,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.07407407407407407,0.0,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.07407407407407407,0.0,0.037037037037037035,0.14814814814814814,0.07407407407407407,0.0,0.037037037037037035,0.0,0.18518518518518517,0.1111111111111111,0.0,0.0,0.07407407407407407,0.0,0.3333333333333333,0.07407407407407407,0.6296296296296297,0.3333333333333333,0.0,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.0,0.18518518518518517,0.037037037037037035,0.1111111111111111,0.0,0.07407407407407407,1
7,8.0,Far Rockaway,51,37.04330065359477,0.1935483870967742,0.0967741935483871,0.03225806451612903,0.0,0.1935483870967742,0.0,0.0,0.3225806451612903,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0967741935483871,0.0,0.0967741935483871,0.0,0.0967741935483871,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.03225806451612903,0.12903225806451613,0.06451612903225806,0.0,0.03225806451612903,0.0,0.0967741935483871,0.0,0.0,0.0,0.03225806451612903,0.0967741935483871,0.16129032258064516,0.03225806451612903,0.0,0.0,0.22580645161290322,0.0,0.0,0.06451612903225806,0.12903225806451613,0.0967741935483871,0.0,0.0,1
8,9.0,Bedford-Stuyvesant,3785,42.170744223350226,0.004676539360872954,0.06975837879968823,0.05533904910366329,0.4255650818394388,0.14886983632112236,0.011301636788776305,0.020265003897116135,0.0003897116134060795,0.022213561964146533,0.17809820732657833,0.018316445830085737,0.00818394388152767,0.014419329696024942,0.27708495713172254,0.13367108339828526,0.02533125487139517,0.11964146531566641,0.030397505845674203,0.0,0.14575214341387374,0.09041309431021044,0.04247856586126267,0.025720966484801246,0.12353858144972721,0.196024941543258,0.000779423226812159,0.04637568199532346,0.026890101325019487,0.05144193296960249,0.027279812938425563,0.06586126266562743,0.0,0.05494933749025721,0.008963367108339828,0.09197194076383476,0.059236165237724084,0.558846453624318,0.09937646141855028,0.003117692907248636,0.002338269680436477,0.060795011691348405,0.2634450506625097,0.0011691348402182386,0.13367108339828526,0.16406858924395948,0.006625097427903352,0.0,0.0035074045206547155,3
9,10.0,Bellerose,11,44.75151515151516,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.6666666666666666,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,1
