,neighborhood_id,neighborhood,num_listings,price_norm,airport,art,artists,bars,beautiful,beer,bike,boardwalk,botanical,cafes,charming,chinese,churches,coffee,community,cute,diverse,family,ferry,food,friendly,galleries,garden,grocery,historic,hospitals,museum,museums,night,nightlife,parks,pier,pizza,quaint,quiet,residential,restaurants,safe,schools,seafood,shopping,shops,stadium,stores,train,views,walkability,zoo,Unique Identifier,AdultCareFacilities,Clinics,CommunityHealthCenters,DiagnosticTreatmentCenters,Hospitals,NursingHomes,SchoolBasedHealthFacilities,Daycares,TotalPop,shape_area,rating_b,FemalePopPercent,PopU18PopPercent,Pop18t24PopPercent,Pop25t44PopPercent,Pop45t64PopPercent,Pop65plPopPercent,HispanicPopPercent,WhiteNonHispPopPercent,BlackNonHispPopPercent,AsianPIPopPercent,OtherRacePopPercent,ForeignBornPopPercent,LimitedEngPopPercent,EduLessThanHSPopPercent,PovertyPopPercent,FoodStampSNAPPopPercent,UnemploymentPopPercent,DisabilityPopPercent,DisabilityVisionPopPercent,DisabilityCognitivePopPercent,DisabilityAmbulatoryPopPercent,DisabilitySelfCarePopPercent,DisabilityIndepLivPopPercent,HealthInsPopPercent,MedicaidEnrollPopPercent,AlcoholRetailersPopPercent,TobaccoRetailersPopPercent,FelonyCrimePopPercent,PropertyCrimePopPercent,ViolentCrimePopPercent,JailIncarcerationPopPercent,AssaultHospPopPercent,AlcoholHospPopPercent,DrugHospPopPercent,PsychHospPopPercent,StrokeHospPopPercent,HIVPopPercent,HepBPopPercent,HepCPopPercent,TBPopPercent,GonorrheaPopPercent,SyphilisPopPercent,PrematureMortalityPopPercent
10,11,Belmont,27,31.19444444,0.0,0.0,0.0,0.0625,0.1875,0.0,0.0,0.0,0.5625,0.0625,0.0,0.0,0.0,0.0625,0.125,0.0,0.0625,0.0,0.0,0.25,0.0625,0.0,0.5,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.125,0.125,0.3125,0.0,0.0,0.0,0.5,11,0,1,0,2,0,0,2,50,27395,13557340.16,7.496240602,54.0,27.4,23.0,26.9,15.8,6.7,60.3,21.1,15.1,1.7,1.8,32.5,30.0,39.1,46.1,47.7,12.0,13.2,2.0,6.8,5.5,2.6,4.9,83.0,51.0,0.354,0.161,2.67,1.47,0.72,0.89,0.1206,2.0269999999999997,2.4344,1.0378,0.428,0.0362,0.0744,0.1215,0.0073,0.2081,0.0566,0.2906
11,12,Bensonhurst,80,31.70861607,0.0,0.06,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.16,0.0,0.04,0.02,0.0,0.1,0.02,0.02,0.16,0.06,0.0,0.02,0.1,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.08,0.0,0.38,0.12,0.48,0.52,0.0,0.0,0.04,0.22,0.0,0.14,0.18,0.0,0.0,0.0,12,1,2,0,1,0,2,0,51,90834,46670569.58,7.583333333,51.3,21.0,8.6,29.6,26.0,14.8,15.1,44.9,0.7,38.1,1.2,55.4,48.8,29.6,19.3,21.2,10.6,10.3,1.6,3.5,6.5,3.0,5.1,86.0,48.9,0.159,0.111,1.04,0.55,0.25,0.16,0.0277,0.419,0.2353,0.4559,0.2385,0.0053,0.2633,0.0876,0.0128,0.027000000000000003,0.0088,0.1346
12,13,Borough Park,132,29.38320707,0.016129031999999998,0.016129031999999998,0.0,0.048387097000000004,0.08064516099999999,0.0,0.0,0.0,0.016129031999999998,0.0,0.0,0.177419355,0.032258065,0.09677419400000001,0.112903226,0.0,0.048387097000000004,0.08064516099999999,0.016129031999999998,0.09677419400000001,0.032258065,0.0,0.048387097000000004,0.048387097000000004,0.032258065,0.016129031999999998,0.032258065,0.0,0.08064516099999999,0.0,0.048387097000000004,0.0,0.09677419400000001,0.0,0.161290323,0.048387097000000004,0.33870967700000004,0.258064516,0.0,0.0,0.112903226,0.09677419400000001,0.0,0.161290323,0.45161290299999995,0.048387097000000004,0.0,0.032258065,13,1,3,0,1,1,2,6,187,109422,54005018.75,7.428832117000001,49.0,39.6,9.6,24.6,16.8,9.4,10.3,75.6,0.6,12.9,0.6,28.8,36.0,28.5,37.3,33.8,6.3,7.7,1.3,3.1,4.8,2.6,3.9,90.1,65.7,0.095,0.057999999999999996,0.72,0.36,0.2,0.12,0.0158,0.5621,0.2321,0.509,0.3301,0.0054,0.2386,0.0529,0.0064,0.0155,0.0059,0.1128
13,14,Belle Harbor,14,62.05782313,0.0,0.0,0.0,0.0,0.166666667,0.0,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666667,0.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666667,0.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,5,0,0,1,0,3,0,20,28972,99436036.78,6.5433962260000005,51.0,23.5,5.5,23.1,29.8,18.1,11.1,77.9,7.9,2.1,1.0,12.3,6.2,11.8,7.6,8.6,8.0,15.5,4.3,5.9,7.9,3.8,5.9,92.5,15.6,0.21100000000000002,0.09699999999999999,1.35,0.51,0.36,0.61,0.0453,0.9089,0.5119,1.4514,0.3486,0.0104,0.015,0.0798,0.0035,0.0362,0.0104,0.2049
14,15,Briarwood,60,42.46736111,0.0625,0.0,0.0,0.03125,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.03125,0.0,0.0,0.03125,0.0,0.0625,0.125,0.0,0.03125,0.09375,0.0,0.0625,0.0,0.0,0.03125,0.0,0.15625,0.0,0.0625,0.03125,0.34375,0.15625,0.4375,0.28125,0.03125,0.0,0.25,0.1875,0.1875,0.0625,0.46875,0.0,0.0,0.0,15,0,0,0,1,0,3,0,39,40027,29301606.76,7.723463687000001,51.2,18.4,8.6,33.6,27.1,12.2,25.8,19.4,10.8,38.6,5.6,56.8,31.1,15.8,15.8,10.9,12.9,9.0,2.0,2.9,4.9,2.0,3.5,80.1,39.6,0.102,0.07,1.2,0.75,0.19,0.19,0.0285,0.4999,0.259,0.7093,0.2889,0.0174,0.0851,0.0555,0.0133,0.045,0.0125,0.1163
15,16,Brighton Beach,80,75.07708333,0.0,0.0,0.0,0.098039216,0.176470588,0.0,0.0,0.568627451,0.0,0.13725490199999998,0.0,0.078431373,0.0,0.058823529000000006,0.078431373,0.0,0.019607843,0.0,0.0,0.490196078,0.078431373,0.0,0.0,0.098039216,0.0,0.0,0.0,0.0,0.078431373,0.039215686,0.0,0.0,0.039215686,0.0,0.039215686,0.019607843,0.568627451,0.156862745,0.0,0.0,0.098039216,0.19607843100000003,0.0,0.176470588,0.37254902,0.0,0.0,0.0,16,0,0,0,1,1,1,1,45,48123,25918907.13,6.036037581,54.87397294,14.48776676,6.746431021,22.72602706,29.48928163,26.51937119,8.69644245,77.88108805,1.144388338,10.56277248,1.646431021,68.56633003,55.31429878,10.45051639,23.92960746,31.49694741,8.086733994,20.93366997,7.286229037999999,9.997452362,14.92703697,8.895409679,12.32907965,89.43162729,45.90307545,0.155877668,0.06823984400000001,1.553979802,0.974897866,0.332194169,0.188877668,0.033276521,0.662464585,0.43059954100000003,0.578925545,0.306162818,0.0019974520000000003,0.102816892,0.196728115,0.004128575,0.012466858,0.0,0.174881134
16,17,Brooklyn Heights,241,75.06641968,0.0,0.028735632,0.0,0.310344828,0.235632184,0.0,0.07471264400000001,0.0,0.005747126,0.16091954,0.126436782,0.005747126,0.017241378999999998,0.120689655,0.011494253000000001,0.011494253000000001,0.0,0.057471264,0.08045977,0.08045977,0.045977011,0.017241378999999998,0.005747126,0.057471264,0.287356322,0.0,0.017241378999999998,0.005747126,0.028735632,0.011494253000000001,0.13218390800000002,0.028735632,0.051724137999999996,0.051724137999999996,0.09195402300000001,0.07471264400000001,0.6724137929999999,0.097701149,0.022988506000000002,0.0,0.212643678,0.379310345,0.0,0.10344827599999999,0.045977011,0.270114943,0.0,0.0,17,0,0,0,4,0,0,0,21,23532,9983620.162999999,6.550898204,51.0,12.8,9.4,42.2,22.5,13.1,8.9,73.4,5.7,7.8,4.2,19.6,4.0,2.2,10.0,2.8,5.4,8.0,2.2,2.5,4.4,1.8,3.1,93.0,5.0,0.331,0.07200000000000001,1.16,0.74,0.17,0.07,0.0,0.3618,0.2254,0.2672,0.1442,0.0,0.0161,0.0521,0.0014,0.0892,0.017,0.07200000000000001
17,18,Brownsville,65,30.07465201,0.02173913,0.0,0.0,0.043478261,0.043478261,0.0,0.02173913,0.0,0.065217391,0.02173913,0.02173913,0.086956522,0.043478261,0.02173913,0.086956522,0.02173913,0.043478261,0.02173913,0.0,0.434782609,0.065217391,0.0,0.0,0.17391304300000002,0.0,0.0,0.130434783,0.02173913,0.0,0.0,0.0,0.0,0.02173913,0.0,0.326086957,0.21739130399999998,0.282608696,0.10869565199999999,0.02173913,0.0,0.17391304300000002,0.086956522,0.0,0.347826087,0.456521739,0.0,0.0,0.0,18,0,1,1,4,0,0,0,127,61161,32719366.09,7.645776567,59.2,30.8,11.5,27.8,20.5,9.4,18.7,0.9,78.2,0.9,1.2,27.7,8.2,27.2,40.0,45.2,15.1,11.6,2.9,4.1,6.4,2.4,4.0,87.5,54.4,0.128,0.13699999999999998,4.0,1.61,1.01,1.53,0.1586,1.64,1.9,1.1653,0.5361,0.0672,0.0598,0.1485,0.0033,0.3924,0.0589,0.3354
18,19,Bushwick,2411,39.06570212,0.01257071,0.35826524200000004,0.155876807,0.536769327,0.046511628,0.02514142,0.014456317,0.0,0.0,0.131992458,0.001257071,0.013199246000000001,0.001885607,0.276555625,0.077938404,0.011942175,0.050911375999999994,0.022627277999999997,0.001257071,0.18918918899999998,0.042740415,0.16153362699999999,0.013199246000000001,0.121307354,0.013199246000000001,0.001257071,0.005028284,0.0043997490000000005,0.089880578,0.067881835,0.035197989,0.0,0.118164676,0.000628536,0.078566939,0.028912634,0.553111251,0.093651791,0.001257071,0.001257071,0.047768699000000005,0.29792583300000003,0.000628536,0.17284726600000003,0.230043997,0.002514142,0.0,0.0,19,1,6,0,4,2,1,3,161,138660,65097379.83,7.553582637000001,51.01010529,23.332242899999997,14.0610688,35.50683398,19.49316602,7.506688302000001,64.81217799,11.82882591,17.90639694,4.372955431,1.125408914,35.96641281,33.36655849,39.55452618,29.26448579,36.98127939,14.22199192,8.506688302,2.050817828,3.2796437330000003,4.947400837,1.771174095,3.333878552,75.22006491,37.12868023,0.296561618,0.152576518,2.649302034,1.305750613,0.768469638,0.7210105290000001,0.071890219,1.172259824,1.117547375,0.734687505,0.398358235,0.035246964,0.036881425,0.10013464,0.007908615,0.273361864,0.06130596,0.191937037
19,20,Cambria Heights,30,38.30972222,0.0,0.0,0.0,0.0,0.117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.235294118,0.0,0.0,0.0,0.0,0.058823529000000006,0.058823529000000006,0.0,0.41176470600000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529000000006,0.0,0.058823529000000006,0.0,0.352941176,0.117647059,0.176470588,0.235294118,0.0,0.0,0.176470588,0.058823529000000006,0.0,0.0,0.117647059,0.0,0.0,0.0,20,0,0,0,0,0,0,1,32,19688,33076798.06,7.047999999999999,54.8,16.8,9.9,23.4,30.3,19.5,3.9,1.6,91.1,1.3,2.0,38.7,6.3,10.1,4.8,12.2,6.7,9.4,1.3,2.7,5.2,1.6,3.4,89.5,19.8,0.086,0.066,1.5,0.63,0.3,0.42,0.0268,0.2227,0.3106,0.5792,0.3044,0.0198,0.0328,0.0201,0.0017,0.1194,0.0,0.096
