Unique Identifier,AdultCareFacilities,Clinics,CommunityHealthCenters,DiagnosticTreatmentCenters,Hospitals,NursingHomes,SchoolBasedHealthFacilities,Daycares,TotalPop,shape_area,rating_b,FemalePopPercent,PopU18PopPercent,Pop18t24PopPercent,Pop25t44PopPercent,Pop45t64PopPercent,Pop65plPopPercent,HispanicPopPercent,WhiteNonHispPopPercent,BlackNonHispPopPercent,AsianPIPopPercent,OtherRacePopPercent,ForeignBornPopPercent,LimitedEngPopPercent,EduLessThanHSPopPercent,PovertyPopPercent,FoodStampSNAPPopPercent,UnemploymentPopPercent,DisabilityPopPercent,DisabilityVisionPopPercent,DisabilityCognitivePopPercent,DisabilityAmbulatoryPopPercent,DisabilitySelfCarePopPercent,DisabilityIndepLivPopPercent,HealthInsPopPercent,MedicaidEnrollPopPercent,AlcoholRetailersPopPercent,TobaccoRetailersPopPercent,FelonyCrimePopPercent,PropertyCrimePopPercent,ViolentCrimePopPercent,JailIncarcerationPopPercent,AssaultHospPopPercent,AlcoholHospPopPercent,DrugHospPopPercent,PsychHospPopPercent,StrokeHospPopPercent,HIVPopPercent,HepBPopPercent,HepCPopPercent,TBPopPercent,GonorrheaPopPercent,SyphilisPopPercent,PrematureMortalityPopPercent
11,0,1,0,2,0,0,2,50,27395,13557340.16,7.496240602,54,27.4,23,26.9,15.8,6.7,60.3,21.1,15.1,1.7,1.8,32.5,30,39.1,46.1,47.7,12,13.2,2,6.8,5.5,2.6,4.9,83,51,0.354,0.161,2.67,1.47,0.72,0.89,0.1206,2.027,2.4344,1.0378,0.428,0.0362,0.0744,0.1215,0.0073,0.2081,0.0566,0.2906
12,1,2,0,1,0,2,0,51,90834,46670569.58,7.583333333,51.3,21,8.6,29.6,26,14.8,15.1,44.9,0.7,38.1,1.2,55.4,48.8,29.6,19.3,21.2,10.6,10.3,1.6,3.5,6.5,3,5.1,86,48.9,0.159,0.111,1.04,0.55,0.25,0.16,0.0277,0.419,0.2353,0.4559,0.2385,0.0053,0.2633,0.0876,0.0128,0.027,0.0088,0.1346
13,1,3,0,1,1,2,6,187,109422,54005018.75,7.428832117,49,39.6,9.6,24.6,16.8,9.4,10.3,75.6,0.6,12.9,0.6,28.8,36,28.5,37.3,33.8,6.3,7.7,1.3,3.1,4.8,2.6,3.9,90.1,65.7,0.095,0.058,0.72,0.36,0.2,0.12,0.0158,0.5621,0.2321,0.509,0.3301,0.0054,0.2386,0.0529,0.0064,0.0155,0.0059,0.1128
14,5,0,0,1,0,3,0,20,28972,99436036.78,6.543396226,51,23.5,5.5,23.1,29.8,18.1,11.1,77.9,7.9,2.1,1,12.3,6.2,11.8,7.6,8.6,8,15.5,4.3,5.9,7.9,3.8,5.9,92.5,15.6,0.211,0.097,1.35,0.51,0.36,0.61,0.0453,0.9089,0.5119,1.4514,0.3486,0.0104,0.015,0.0798,0.0035,0.0362,0.0104,0.2049
15,0,0,0,1,0,3,0,39,40027,29301606.76,7.723463687,51.2,18.4,8.6,33.6,27.1,12.2,25.8,19.4,10.8,38.6,5.6,56.8,31.1,15.8,15.8,10.9,12.9,9,2,2.9,4.9,2,3.5,80.1,39.6,0.102,0.07,1.2,0.75,0.19,0.19,0.0285,0.4999,0.259,0.7093,0.2889,0.0174,0.0851,0.0555,0.0133,0.045,0.0125,0.1163
16,0,0,0,1,1,1,1,45,48123,25918907.13,6.036037581,54.87397294,14.48776676,6.746431021,22.72602706,29.48928163,26.51937119,8.69644245,77.88108805,1.144388338,10.56277248,1.646431021,68.56633003,55.31429878,10.45051639,23.92960746,31.49694741,8.086733994,20.93366997,7.286229038,9.997452362,14.92703697,8.895409679,12.32907965,89.43162729,45.90307545,0.155877668,0.068239844,1.553979802,0.974897866,0.332194169,0.188877668,0.033276521,0.662464585,0.430599541,0.578925545,0.306162818,0.001997452,0.102816892,0.196728115,0.004128575,0.012466858,0,0.174881134
17,0,0,0,4,0,0,0,21,23532,9983620.163,6.550898204,51,12.8,9.4,42.2,22.5,13.1,8.9,73.4,5.7,7.8,4.2,19.6,4,2.2,10,2.8,5.4,8,2.2,2.5,4.4,1.8,3.1,93,5,0.331,0.072,1.16,0.74,0.17,0.07,0,0.3618,0.2254,0.2672,0.1442,0,0.0161,0.0521,0.0014,0.0892,0.017,0.072
18,0,1,1,4,0,0,0,127,61161,32719366.09,7.645776567,59.2,30.8,11.5,27.8,20.5,9.4,18.7,0.9,78.2,0.9,1.2,27.7,8.2,27.2,40,45.2,15.1,11.6,2.9,4.1,6.4,2.4,4,87.5,54.4,0.128,0.137,4,1.61,1.01,1.53,0.1586,1.64,1.9,1.1653,0.5361,0.0672,0.0598,0.1485,0.0033,0.3924,0.0589,0.3354
19,1,6,0,4,2,1,3,161,138660,65097379.83,7.553582637,51.01010529,23.3322429,14.0610688,35.50683398,19.49316602,7.506688302,64.81217799,11.82882591,17.90639694,4.372955431,1.125408914,35.96641281,33.36655849,39.55452618,29.26448579,36.98127939,14.22199192,8.506688302,2.050817828,3.279643733,4.947400837,1.771174095,3.333878552,75.22006491,37.12868023,0.296561618,0.152576518,2.649302034,1.305750613,0.768469638,0.721010529,0.071890219,1.172259824,1.117547375,0.734687505,0.398358235,0.035246964,0.036881425,0.10013464,0.007908615,0.273361864,0.06130596,0.191937037
20,0,0,0,0,0,0,1,32,19688,33076798.06,7.048,54.8,16.8,9.9,23.4,30.3,19.5,3.9,1.6,91.1,1.3,2,38.7,6.3,10.1,4.8,12.2,6.7,9.4,1.3,2.7,5.2,1.6,3.4,89.5,19.8,0.086,0.066,1.5,0.63,0.3,0.42,0.0268,0.2227,0.3106,0.5792,0.3044,0.0198,0.0328,0.0201,0.0017,0.1194,0,0.096
21,2,2,0,3,0,2,0,170,87511,82098856.06,6.857342657,54.7,23.2,11.1,26.6,28.5,10.5,7.9,4.9,82.5,3,1.7,46.7,14.1,16.3,15.2,16.8,9.7,9,1.9,2.7,6.1,2.2,3.5,88.7,30.6,0.082,0.069,2.05,1.01,0.48,0.45,0.0546,0.5192,0.4937,0.6471,0.3864,0.035,0.057,0.0636,0.0084,0.1606,0.0189,0.1597
22,0,2,1,2,0,1,1,99,55256,51983796.82,5.749464668,55.4,23.5,11.5,26,25.5,13.4,58.1,1.7,36.6,1.9,1.8,21.9,19.9,25.9,27.6,34.5,11.9,16,3.2,7.1,9.9,3.7,6.2,89.4,43.6,0.074,0.067,1.99,1.12,0.45,0.68,0.1147,1.2274,1.3293,0.6795,0.2813,0.0466,0.0604,0.0971,0.003,0.2154,0.038,0.2029
23,0,0,0,1,0,0,0,9,24357,63253932.34,7.428769018,51.3,21.7,7.8,26.7,27.7,16,15.6,71.7,2.6,7.6,2.5,15.6,5.4,7.8,7.6,6.2,7,10.9,1.6,4.2,5.6,2.1,4.1,95.6,14.2,0.234,0.123,0.83,0.4,0.22,0.16,0.0235,0.6232,0.4723,0.3272,0.2613,0,0.0237,0.0507,0,0.0328,0,0.1549
24,0,0,0,0,0,0,0,15,24574,145674612.3,5.547908232,49.1,25.7,8.6,27.3,27.7,10.7,12.4,80.7,1.8,4,1,15,6.5,8.7,5.5,5.2,6.1,7,1.6,2.5,4.3,1.9,2.9,93.7,12.1,0.273,0.102,0.87,0.34,0.22,0.17,0.0245,0.4476,0.4389,0.2677,0.3499,0,0.0177,0.0643,0.0054,0.0224,0,0.1199
25,1,3,2,12,0,0,3,53,76034,37068382.05,7.092063492,49,10.8,9.1,46.6,22.8,10.8,14,63.1,6.1,13.1,3.6,22.9,8,5.8,12.6,6.7,6.6,6.6,1.4,2.1,3.5,1.3,2.3,93,15.7,0.751,0.15,3.36,2.4,0.44,0.4,0.0441,1.2254,1.1423,1.0413,0.212,0.095,0.043,0.1602,0.0035,0.7017,0.2381,0.1138
26,0,1,0,2,0,2,0,34,39594,327768573.7,6.387536514,52.6,20.7,8,24.7,30,16.6,12.8,63.9,5.6,16.4,1.3,24,11.1,10.5,8.3,8.8,6.9,8.8,0.9,2.9,5,1.9,3.8,93.6,24,0.164,0.066,0.86,0.4,0.16,0.2,0.0348,0.5132,0.4135,0.4569,0.3848,0.0025,0.0274,0.0512,0.0025,0.029,0,0.1444
27,0,2,0,6,0,0,2,68,45091,14501867.88,6.534050179,48.4,13.9,8.7,35.5,26.3,15.5,13.6,16.7,4.1,61.8,3.8,53.8,46.1,38.7,29,26.1,9.1,11.1,2,4.6,7.5,3.6,5.4,84.8,59.7,0.723,0.144,2.37,1.47,0.44,0.34,0.0533,0.7299,0.5739,0.4573,0.3514,0.0376,0.8237,0.2123,0.0185,0.2761,0.0432,0.1514
28,0,1,0,0,0,1,0,30,26963,40134533.12,6.659459459,53.9,18.1,8.3,25.3,28.7,19.7,30.7,61.2,2.7,4.1,1.4,16.5,10.5,17.4,10.3,9.6,9.3,14.1,3,4.7,8.5,3.4,7.6,93.3,19.4,0.267,0.122,1.11,0.68,0.24,0.18,0.0455,0.7366,0.5748,0.3688,0.2151,0.0111,0.0403,0.0718,0.0012,0.0389,0.0315,0.1612
29,0,2,0,7,0,1,3,103,33205,16451615.97,6.721238938,56.3,33.1,13.2,25.7,20.1,7.9,55.4,1,42.4,0,1.2,26.3,26,39.9,50.6,61.3,21.7,15.8,3.2,7.6,9.6,4.2,6,87.7,66.1,0.123,0.099,2.57,1.34,0.67,1.48,0.1971,2.7471,3.9937,1.4519,0.4605,0.0456,0.1493,0.1277,0.012,0.3478,0.0903,0.3457
30,0,0,0,2,0,0,2,43,37795,20528197.64,7.205607477,52.5,18,14.6,39.4,18.8,9.2,13.8,38.4,37.8,5.7,4.2,18.9,8.3,8.7,19.4,13.9,8.9,6.8,1.3,2.2,4.3,1.3,2.7,87.5,21.5,0.323,0.135,2.59,1.39,0.64,0.43,0.0475,0.6665,0.7316,0.5202,0.2782,0.0452,0.0316,0.1005,0.0053,0.2434,0.0582,0.1755
31,0,1,0,2,0,3,1,35,47442,39833695.17,5.108,55.4,16.9,9.3,22,30.6,21.2,30.2,8,58.9,0.7,2.2,26.1,10.4,16,10.1,13.8,12.4,15.5,3.7,4.5,10.2,3.4,5.3,92.5,20.7,0.08,0.044,1.26,0.8,0.22,0.23,0.0527,0.8325,0.5778,0.5108,0.2578,0.0192,0.0509,0.0605,0.0014,0.1075,0.0169,0.1714
32,0,0,0,1,0,3,0,9,25113,50553892.98,6.28929385,50.2,21.8,9.9,28.2,26.7,13.4,36.7,27.5,1.7,31.9,2.4,47.6,39.6,21.1,12.9,13.7,9.2,7.4,1.2,2.4,4.6,1.6,2.9,81,42.8,0.159,0.076,1.15,0.48,0.43,0.27,0.0245,0.4423,0.308,0.4389,0.2451,0.0118,0.1505,0.0663,0.0106,0.0299,0.0119,0.1585
33,1,0,0,0,0,0,1,19,15394,40925777.31,6.183060109,54.4,22.4,8.4,26.5,29.4,13.3,13.9,65.4,5.9,13.2,1.6,34.3,20.1,14.1,12.2,15.7,8.8,12.3,2.3,4.5,7.3,3.8,6.1,91.8,31.1,0.201,0.104,1.15,0.46,0.31,0.37,0.0797,0.8613,0.8726,0.8298,0.2846,0.0191,0.044,0.0781,0.0087,0.0292,0,0.1793
34,0,1,0,3,0,0,2,153,37852,19379817.58,6.375661376,52.5,29,11,27.9,24.7,7.5,69.1,1.2,24.4,3,2.1,47.1,39.9,37,36.6,49.2,15.2,15.2,4.1,5.8,9.1,3.1,5.3,82.6,60,0.24,0.164,2.86,1.57,0.64,0.81,0.1134,1.5338,1.7735,0.6919,0.428,0.0408,0.1264,0.1073,0.0106,0.2127,0.0568,0.2065
35,1,2,1,1,0,2,3,193,64821,18222401.78,7.368421053,53,27,12.7,26.4,23,10.8,61.3,1.4,34.2,1.3,1.8,37.8,33.4,38.9,35.9,45.1,15.3,14.3,2.9,5.9,8.7,2.4,4.9,84,55.2,0.139,0.123,2.34,1.08,0.68,0.91,0.1314,1.8564,1.9772,0.9524,0.4564,0.0444,0.1556,0.119,0.0057,0.2391,0.0555,0.2421
36,3,3,0,2,0,2,0,79,110440,38081205.25,7.454137867,46.36990221,24.93776711,10.77553423,36.81194314,19.39436798,8.083882651,72.77291742,4.777571532,11.1341724,10.56359109,0.751747555,61.42524448,52.75815828,39.97631293,24.52728178,29.61330134,6.776213329,9.097183991,2.206990221,3.269223108,4.831455994,1.817475552,2.513980442,65.84815284,48.11679645,0.22082624,0.101615538,1.412242847,0.638883557,0.427203912,0.456854401,0.051151748,0.834322329,0.298499882,0.468912088,0.289612405,0.022648252,0.090066108,0.056134272,0.01868534,0.074274276,0.022174855,0.109576793
37,0,6,0,7,1,3,0,272,177290,87698877.1,7.653858054,54.77491737,23.72851825,11.19103672,31.35961983,22.82700039,10.87680185,12.07320999,14.01616899,69.70143776,2.169124034,1.953441818,32.75831632,9.342032264,20.86562073,27.4319595,29.18027074,13.63149303,9.804144058,2.068253709,3.14347961,6.563996277,1.98400925,3.535240002,85.05660895,39.03718822,0.166438976,0.1244963,3.441986801,1.572871623,0.812561961,1.107260816,0.106021104,1.590551977,1.989366665,1.514718431,0.421578761,0.052064637,0.057971509,0.137180562,0.004878069,0.354494819,0.088559997,0.23974899
38,0,0,0,0,0,0,0,68,47199,27609751.07,7.672364672,52.2,27.9,12.4,29.3,23.2,7.3,60.4,5,25.9,6.4,2.4,46.1,24,28.5,30.2,23.5,8.6,6.6,1.4,2.6,3.9,1.6,2.8,84.5,52,0.231,0.14,2.79,1.34,0.67,0.72,0.0712,0.9894,0.6514,0.5965,0.3572,0.0213,0.0583,0.0567,0.0028,0.1409,0.0339,0.1806
39,0,0,0,0,0,0,0,23,47980,57724460.46,6.37962963,51.5,15.1,8.3,41.5,22.7,12.4,22.5,62.9,1.6,10.5,2.6,37.8,20.9,15,12.6,8.1,9.2,9.2,1.1,3,5.6,2.2,4.1,84.5,22,0.3,0.098,1.2,0.54,0.35,0.17,0.0217,0.5332,0.2659,0.2678,0.277,0.025,0.0349,0.0766,0.0014,0.248,0.0469,0.1124
40,0,5,0,1,1,1,1,19,25007,67009381.56,6.652380952,52.9,19.7,9.6,27.9,27.2,15.6,13.3,71.4,4.3,9.1,1.9,30.5,17.8,12.6,11.7,13,8.1,11.4,1.3,3.9,5.9,2.1,4.7,92.5,24.3,0.196,0.104,0.99,0.4,0.24,0.25,0.0469,1.001,1.0146,1.2295,0.5048,0.012,0.044,0.0744,0.0013,0.03,0,0.1717
41,1,0,0,0,0,1,0,21,25490,68394169.97,7.022222222,51.6,19.4,5.9,25.9,30.7,18.1,11.3,46.7,1.8,39.2,1,39.1,28.1,9.3,7.4,5.1,7,9.6,1.9,2.5,5.3,2.9,4.5,89.3,16,0.177,0.043,0.82,0.4,0.25,0.12,0,0.2057,0.1393,0.3006,0.2483,0.0039,0.0855,0.0381,0.0052,0.0157,0,0.0638
42,0,1,0,7,0,1,4,64,39383,28477918.57,6.173423423,51.4,18.3,7.7,45.6,19.8,8.7,21.5,44.2,21.2,10.3,2.9,18.9,12,14.6,21.2,18.1,9.6,10.8,2.5,4.9,6.2,2.4,4.5,91.7,30.1,0.488,0.173,3.97,2.22,0.7,0.71,0.0604,1.3685,1.463,1.0745,0.4335,0.0242,0.0572,0.127,0.0059,0.2653,0.0533,0.2026
43,1,1,0,0,0,2,0,30,46700,29911047.06,7.616033755,50,21.9,8.2,30.1,25.2,14.7,10.2,49,0.6,39.3,1,45.4,38.8,30.1,16,17.3,8.9,9.1,1.3,3,5.7,2.2,3.9,89.6,42.8,0.161,0.099,0.86,0.41,0.22,0.14,0.0165,0.5328,0.266,0.3422,0.2535,0.0021,0.3267,0.0518,0.01,0.0364,0,0.1233
44,1,0,0,0,0,1,0,38,22716,19726845.26,6.908296943,47.4,21.6,11.1,34.2,22.8,10.3,62.4,4.9,24.4,6.9,1.4,55.1,36.1,25,20.6,15.9,9.1,7.6,1.5,3.5,4.6,1.9,2.8,73.9,48.3,0.141,0.088,1.88,0.89,0.52,0.62,0.03,0.812,0.497,0.6371,0.3846,0.0345,0.0423,0.0751,0.0103,0.1079,0.044,0.144
45,1,3,1,3,2,1,1,281,135749,81590414.93,7.75022749,55.84351487,22.22827424,9.881247744,27.47731843,26.6880279,13.70714922,6.804225445,1.511398979,88.69155648,1.274836647,1.679880515,52.63975794,8.542412099,15.99102977,17.15680852,21.6897863,11.5485661,8.232941679,1.625933156,2.729437418,5.386119235,2.212224768,3.434653662,85.4531142,34.39639408,0.158604292,0.101640741,2.593324518,1.242725177,0.64742709,0.585688587,0.081917231,0.797182979,0.848936703,0.870798176,0.439334492,0.046247259,0.071121661,0.058221681,0.008331927,0.243110851,0.04457249,0.175480943
46,1,12,2,17,2,3,13,208,119023,41145585.49,5.712121212,53.71201112,21.69429102,12.24774791,31.33573679,22.53273401,12.13873957,46.30179797,13.81592213,30.17807231,7.454958285,2.29849861,26.0192215,20.80600556,26.63903615,32.07657091,29.83753476,11.74324374,13.57477294,2.407506952,5.761260429,8.468767381,3.561260429,5.109008343,84.99549583,45.91531049,0.173210195,0.123762743,2.8328823,1.347177016,0.602101947,1.148978685,0.115654328,1.634639426,1.99585153,1.499206229,0.393524578,0.039610491,0.07286215,0.19334621,0.007003003,0.298709249,0.071028823,0.267033902
47,0,0,0,3,0,0,0,58,20756,16319725.25,5.179487179,54.6,31,11.3,27,22.9,7.6,67.3,1,30,0.7,1,34.2,24.9,37.8,44.7,55.4,18.4,11.4,1.7,5.6,6.2,2.4,4,85.4,61,0.145,0.13,2.76,1.56,0.59,1.2,0.1661,2.358,2.7938,1.8241,0.6333,0.0523,0.0858,0.1597,0.0128,0.2746,0.0747,0.2425
48,1,3,1,13,0,5,5,316,134587,148022171.2,6.848946961,55.78518059,28.79602785,11.47393582,26.41758714,22.93495731,10.40022365,26.75341303,3.973929131,66.30953212,1.848610193,1.204964818,30.61260894,10.90969336,23.56114409,34.49476101,32.3016116,14.60792424,11.49478702,2.536570397,4.246679843,7.343608224,3.207043771,5.112666156,88.91019043,50.4210258,0.150823824,0.132724409,3.809380029,1.795763335,0.858694302,1.260557855,0.131661007,1.518348411,1.494861917,1.31778735,0.488535451,0.048650194,0.064656834,0.13640788,0.005717873,0.294203867,0.051268232,0.276658576
49,0,3,0,5,1,0,0,22,43402,10894316.34,7.289473684,50.4,5.7,19.5,44.5,21.1,9.2,10.8,67.4,4.8,14.3,2.7,23.1,8.6,6.7,14.7,7.2,5.3,7.6,1.7,2.3,4.1,1,2.6,90.3,12.3,1.187,0.175,2.43,1.74,0.38,0.39,0.0252,0.9943,0.8041,0.5693,0.2426,0.0465,0.043,0.1321,0.0023,0.3099,0.0691,0.119
50,0,0,0,1,0,1,1,75,35367,40256794.73,6.611285266,56,25.7,11.7,24.8,26.2,11.4,24.2,3.6,68.8,1.8,1.7,36.4,8.6,19.6,18,26,14.4,12.5,3.1,5.4,6.7,2.7,4.2,89.2,36.1,0.088,0.062,1.69,0.85,0.49,0.57,0.0909,1.0845,1.2613,0.837,0.3291,0.0337,0.0764,0.0613,0.0038,0.2262,0.0325,0.1817
51,1,0,0,3,1,0,0,61,113713,54603013.02,7.009296058,48.55592588,19.05989201,9.214691372,35.96949074,24.89378083,10.91581789,40.61699102,8.29206775,1.261018529,47.93839491,1.937854951,68.79774696,56.65763897,29.02487666,19.01753098,14.85651245,6.014691372,7.122037058,1.707345686,2.275709901,4.030509265,1.5,2.576836422,73.4570524,45.66101853,0.203779629,0.099853086,1.363050926,0.764632716,0.321581789,0.203050926,0.029662192,0.758094899,0.328713538,0.652751152,0.221093241,0.017028796,0.220336728,0.048931049,0.028722037,0.067231096,0.036938395,0.088668364
52,0,0,0,0,0,0,0,17,44078,89615893.67,7.086170213,50.9,20.5,8.3,26.7,29.8,14.8,9.8,84,0.3,5.1,0.8,16.4,7.8,8.2,8,5.5,8.5,10.1,1.2,2.6,6.7,2,4.2,94.5,12.7,0.184,0.077,0.66,0.3,0.12,0.16,0.0231,0.6038,0.5266,0.365,0.2737,0.0023,0.015,0.0625,0.0015,0,0,0.1343
53,1,4,0,7,0,2,0,122,106012,45254807.16,7.857749469,54.6,23.6,10.3,31.3,24.4,10.4,17.7,22.2,47.5,9.8,2.8,47.6,27.2,20.3,20.6,27.5,10.6,8.9,1.8,3.1,5.8,2.5,3.8,83.7,40.6,0.125,0.091,1.75,0.92,0.33,0.47,0.0451,0.7158,0.6046,0.6815,0.3884,0.0271,0.0718,0.0892,0.0116,0.175,0.0391,0.176
54,0,0,0,1,1,0,0,117,72864,54341775.95,7.566191446,53.6,22.3,11.3,25.6,28.5,12.5,7.9,16.5,70.3,3.7,1.6,43.6,16.2,13.6,11.4,16.8,10.3,7.7,1.3,2.6,5,2.1,3.8,90.5,25.9,0.117,0.085,1.64,0.9,0.43,0.32,0.0433,0.3757,0.3868,0.417,0.3107,0.0229,0.0496,0.0464,0.0059,0.1372,0.0213,0.1212
55,4,3,1,8,3,7,1,160,204851,185203988.9,6.901589675,52.48350704,17.28433642,9.584966146,28.24354531,29.35111325,15.5720265,16.34603004,19.49555628,3.824975226,57.60150597,2.740816496,60.7040239,50.35128606,22.32813362,18.9941909,14.51279174,9.128382092,8.579934684,1.551690741,2.745432046,5.487615877,2.392844555,3.898094225,79.12660617,50.26262308,0.220599773,0.065470386,1.199264295,0.649916281,0.289881133,0.186763599,0.020128426,0.420236418,0.216910925,0.512666833,0.280716628,0.008405453,0.43431407,0.067855311,0.016910711,0.031498743,0.006340336,0.105408338
56,0,2,2,4,0,0,3,307,80052,21307758.22,7.542605661,52.73361065,27.83379054,12.16670414,30.19986509,22.36636686,7.466591715,71.39993254,5.166254435,19.16744616,3.066411832,1.166614201,40.60002249,35.16681657,36.56722131,38.13437516,48.50029231,16.60008994,12.83340828,2.9,5.866726628,7.533340828,2.333318343,4.633340828,81.39982012,59.83412782,0.167341053,0.11866974,2.933327337,1.38667716,0.626674911,1.043383551,0.131267738,1.853819158,2.078468603,0.9827929,0.357606858,0.049466749,0.110168076,0.153435612,0.01,0.256108275,0.068068278,0.21340371
57,1,0,0,3,1,3,0,88,85251,57827751.79,7.148325359,53,17.7,5.5,31.6,27.2,17.9,14,56.2,2.7,25,2.2,47.3,23.5,7.4,10.2,7.6,6.8,10.9,1.9,3.6,6.7,2.9,5.5,91.3,20.4,0.181,0.067,0.83,0.52,0.15,0.09,0.0086,0.3687,0.2074,0.3811,0.2546,0.0116,0.0886,0.0624,0.0063,0.0311,0.0152,0.0935
58,1,2,1,3,1,3,1,42,28721,16482821.84,6.932291667,54.3,18,11.4,37.9,20.7,11.9,21.5,28.2,37.8,8.8,3.6,21.9,11.9,18.1,24.1,21.9,13.3,9.6,1.5,3.6,5.9,1.8,3.6,88.8,30.6,0.345,0.136,3.84,2.33,0.71,0.56,0.0698,1.4421,1.1322,0.9143,0.3886,0.0492,0.0588,0.0903,0.0081,0.2211,0.0418,0.2217
59,1,6,2,2,0,0,0,53,84439,67119995.31,5.987767584,52.4,20.5,7.3,30.9,27.3,14,16.8,64.3,1.7,14.5,2.7,34.6,22,14.3,17,12.9,8.7,9.6,2,3.3,5.7,2.3,4.2,89.6,28,0.269,0.123,1.14,0.57,0.22,0.18,0.029,0.5649,0.3308,0.4508,0.251,0.0106,0.0827,0.072,0.0087,0.0379,0.0089,0.1345
60,0,6,0,0,0,0,0,26,39073,61939768.65,7.185295751,51.76871497,20.12514012,8.208827067,26.20614491,29.53877102,15.92111688,11.91016815,37.27429939,2.202682159,46.13530827,2.377542037,47.8802242,32.34971976,14.0197758,10.2665933,7.771397128,9.002682159,8.570056049,1.692514012,2.061228982,4.892514012,1.853742994,3.607485988,86.46737389,27.17139713,0.16868715,0.066625701,0.91136309,0.489251401,0.230614491,0.080748599,0,0.245310409,0.155451962,0.321783367,0.271873959,0.002525921,0.127232626,0.029414191,0.006002682,0.016653743,0,0.09587542
61,0,1,0,0,2,2,0,9,22327,45666940.57,7.130325815,54.6,15.1,7.9,21.4,30.9,24.5,8.1,49.1,4.3,34.6,3.8,34.7,15.3,9.3,7.5,4.2,8.7,14.5,2.7,4.1,8.8,3.3,5.9,92.7,17.3,0.121,0.054,0.71,0.42,0.15,0.06,0,0.2745,0.2523,0.3849,0.181,0.0044,0.021,0.0294,0.0045,0,0,0.1033
62,0,0,0,1,0,0,0,29,32778,30016735.51,7.304347826,50.5,21,9,29.6,27.2,13,35.9,57.4,0.9,4.7,1.1,30.5,16.6,16.4,12,6.8,8,8,1.3,2.6,4.8,1.6,3.7,87.9,24.2,0.198,0.134,1.19,0.62,0.24,0.25,0.0185,0.5804,0.4169,0.3858,0.3808,0.0061,0.0312,0.0523,0.0041,0.061,0.0092,0.1414
63,0,12,1,2,1,0,5,134,74526,42509225.91,7.344578313,51.9,18.8,6.6,43.9,22.2,8.6,18.5,65.1,5.2,6.7,4.6,17.6,8.4,7.5,7.6,4.8,6.1,5.9,1.2,1.8,3.4,1.3,2.3,90.8,8.8,0.484,0.102,1.55,1.01,0.29,0.17,0.0193,0.6422,0.5655,0.4704,0.2304,0.0148,0.0294,0.055,0.0004,0.1073,0.0275,0.0887
64,0,5,0,6,2,0,1,16,27396,7526926.613,7.378947368,55.6,6.8,16,44.2,20.9,11.9,7,73,4,12.8,3.2,18.8,4.1,2.9,9.2,5.2,7.9,6.2,1.7,2.3,3.4,1.5,2.6,94.4,5.5,0.679,0.186,2.3,1.68,0.31,0.15,0.0433,1.2903,0.9903,0.7585,0.1614,0.0329,0.0401,0.0666,0.0012,0.2172,0.0821,0.1131
