,community,shape_area,area_num_1,shape_len,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,AVG_VMT,OPEN_SPACE_PER_1000,Sfperc,Mfperc,MIXperc,COMMperc,INSTperc,INDperc,TRANSperc,Agperc,OPENperc,VACperc,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,PopDens,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,OV65
40,AVALON PARK,34852737.7366,45,27630.822534,11147,10185,9985,0.23294942413620434,0.1755633450175263,0.15693540310465698,0.23084626940410616,10.205307961942914,6.629944917376064,3.5353029544316477,0.4407438017,0.006109163745618428,0.006609914872308463,0.971957936905358,0.0038057085628442665,0.011517275913870806,8300,0.5113253012048192,0.42,0.09120481927710845,0.48867469879518066,0.026024096385542168,0.3803614457831326,7070,0.13889674681753889,0.2561527581329561,0.30353606789250354,0.06364922206506365,0.15954738330975954,0.07835926449787836,0.17722772277227722,0.13493635077793495,0.08557284299858557,0.06704384724186704,0.05601131541725602,0.027864214992927863,413.9423077,3880,2563,1315,673,4551,1016,1456,45,47,161426.1168,11996.00199,2.859074403,0.38002159799999996,0.034119467,0.003221757,0.056123677999999996,0.053758216,0.015009151,0.391903414,0.0,0.035055327000000004,0.030787392,0.9069604406609915,0.01602403605408112,9216,0.8967451176765148,0.026339509263895843,0.006009013520280421,0.8967451176765148,0.00971457185778668,0.00010015022533800701,0.0,0.0,0.0,0.00200300450676014,0.0043064596895343015,0.0030045067601402104,0.0073109664496745115,1.0,1.0,0.30147238600000004,0.7041146859999999,0.0002864911237522218,13.3,69.6,0.19699999999999998,0.745,0.146,0.639,0.221,0.33799999999999997,2.396,0.27699999999999997,0.8390000000000001,0.185,0.114,0.579,0.451,0.445,4.348,0.006,11.399000000000001,0.019,0.16699999999999998,0.006,0.419,0.133,23495,0.166,0.20370555833750625
41,SOUTH CHICAGO,93272185.0092,46,52435.9794313,38596,31198,28263,0.2947670098715635,0.2004387361568128,0.17751123376853128,0.17676821285779995,7.646038990906839,6.407670806354599,0.997770937267806,0.3543152866,0.027987120970880658,0.2082227647454269,0.7542369882885752,0.0005307292219509606,0.00902239677316633,21701,0.5948573798442468,0.47384913137643425,0.12100824846781254,0.4051426201557532,0.010183862494815907,0.4497488594995622,17481,0.18803272124020365,0.3364796064298381,0.253761226474458,0.07556775928150564,0.09564670213374521,0.050511984440249416,0.2563926548824438,0.15817172930610376,0.08798123677135175,0.04656484182827069,0.03329328985755964,0.012871117212974086,295.8068615,10406,4023,6383,3716,14122,2604,1123,132,109,119124.424,10708.907940000001,2.463540364,0.171513638,0.126718318,0.01126902,0.030754781000000002,0.034227959,0.01610118,0.295155613,0.0,0.029379252999999998,0.284880238,0.8322895658634963,0.0894455648728019,26051,0.7407918479991509,0.18094328273714752,0.07108233379329866,0.7407918479991509,0.1564589746311432,0.00166295156211301,0.0005307292219509606,0.0,0.0004245833775607685,0.0,0.0,0.009411598202597035,0.012454445741782543,0.877886886,0.883609608,0.22172644600000002,0.735106519,0.0003030163815419597,18.1,82.2,0.13,0.753,0.151,0.768,0.369,0.319,2.273,0.21100000000000002,0.8690000000000001,0.337,0.177,0.509,0.563,0.506,4.934,0.016,17.747,0.069,0.28,0.059000000000000004,0.431,0.282,15393,0.177,0.15051480734529243
42,BURNSIDE,16995983.2737,47,18137.9442529,3294,2916,2254,0.16903283052351376,0.21827861579414376,0.15483584738243122,0.19387755102040816,15.039929015084294,8.030168589174801,3.3274179236912156,0.4604166667,0.0044365572315882874,0.01464063886424135,0.9747116237799467,0.0,0.006211180124223602,1953,0.5714285714285714,0.44393241167434716,0.12749615975422426,0.42857142857142855,0.006656426011264721,0.4157706093189964,1671,0.14063435068821065,0.37223219628964693,0.2710951526032316,0.07540394973070018,0.07360861759425494,0.06702573309395571,0.2896469180131658,0.14602034709754638,0.03052064631956912,0.0580490724117295,0.05326152004787552,0.0,249.40944880000004,965,451,514,350,1315,371,73,7,0,102947.1545,12592.972,1.001540734,0.17224507,0.035605702,0.004228288,0.037428532,0.018896003999999997,0.29822471300000003,0.33484325600000003,0.0,0.01798887,0.08053956400000001,0.9387755102040817,0.05412599822537711,2238,0.9361135758651287,0.05678793256433008,0.01774622892635315,0.9361135758651287,0.01464063886424135,0.0,0.0,0.0,0.0,0.0,0.0,0.038154392191659274,0.003992901508429458,1.0,1.0,0.2160383,0.803599374,0.00013261957038330902,12.9,64.0,0.079,0.684,0.132,0.687,0.703,0.076,1.912,0.32799999999999996,0.861,0.703,0.13,0.695,0.44,0.991,3.75,0.036000000000000004,31.088,0.068,0.225,0.055,0.40399999999999997,0.18600000000000003,13756,0.23399999999999999,0.2639751552795031
43,MCKINLEY PARK,39431799.6479,59,26014.0968371,15962,15612,15767,0.2679013128686497,0.24792287689478024,0.21773324031204414,0.16648696644891228,6.748271706729245,2.3593581531045857,0.8879304877275321,0.34029182880000003,0.16915075791209488,0.6056954398427095,0.010401471427665378,0.19699372106297963,0.017758609754550642,12229,0.6495216289148744,0.5712650257584431,0.07825660315643143,0.35047837108512553,0.015455065827132226,0.540927303949628,10290,0.2815354713313897,0.28221574344023326,0.15908649173955297,0.06452866861030127,0.1382896015549077,0.07434402332361516,0.13498542274052477,0.14207968901846452,0.08824101068999028,0.049173955296404274,0.059572400388726916,0.02546161321671526,449.0421456,5140,2830,2310,414,5554,501,1819,399,91,208850.365,12580.41519,2.586987052,0.13261294199999998,0.118961215,0.013058611999999999,0.067740793,0.027319146000000002,0.17983246600000002,0.333121536,0.0,0.08135792900000001,0.045995361,0.578676983573286,0.3535231813280903,14698,0.2743070971015412,0.6578930677998351,0.2778588190524513,0.2743070971015412,0.46540242278175936,0.009576964546204098,0.1672480497241073,0.0017758609754550644,0.001902708187987569,0.0018392845817213166,0.004059110801040147,0.005708124563962707,0.00038054163759751377,0.830386842,0.7902241940000001,0.277162293,0.76402127,0.00039985494298482255,16.7,73.9,0.073,0.805,0.099,0.479,0.051,0.327,1.484,0.142,0.614,0.065,0.073,0.38299999999999995,0.0,0.517,5.296,0.008,1.4140000000000001,0.115,0.161,0.069,0.337,0.318,17577,0.11900000000000001,0.09995560347561362
44,LAKE VIEW,87214799.2728,6,51973.0968677,94817,94368,100470,0.11931919976112272,0.49375933114362497,0.1973524435154773,0.1091171493978302,4.780531501940878,2.3330347367373343,0.9316213795162734,0.311677798,0.7901064994525729,0.08284064894993531,0.03458743903652832,0.06410868916094356,0.028356723400019906,89508,0.8390311480538053,0.812351968539125,0.026064709299727394,0.16096885194619476,0.05494480940251151,0.7472516423113018,76120,0.02065160273252759,0.06093011035207567,0.08871518654755649,0.033631108775617445,0.4770625328428796,0.31900945874934317,0.0905281135049921,0.10374408828166054,0.11223068838675773,0.08987125591171834,0.13187073042564373,0.16470047293746715,861.1862301,52747,19971,32776,4892,57639,1502,5486,6022,6027,370723.8681,7319.6030120000005,2.691740427,0.110676995,0.317101525,0.046299529000000006,0.062235988,0.048324245,0.008261181999999999,0.312630422,0.0,0.08929793,0.005172184,0.8219568030257789,0.12462426595003484,95103,0.7994824325669354,0.14709863640887827,0.03383099432666468,0.7994824325669354,0.053578182542052356,0.017069772071265053,0.008609535184632228,0.0049168906141136655,0.003971334726784115,0.0025380710659898475,0.01084900965462327,0.03797153379118145,0.007594306758236289,1.0,1.0,0.8297030999999999,0.906217739,0.001151983388573067,13.5,38.7,0.063,0.7909999999999999,0.081,0.158,0.013999999999999999,0.201,1.2690000000000001,0.13,0.385,0.018000000000000002,0.022000000000000002,0.325,0.17,0.244,1.7919999999999998,0.004,0.818,0.032,0.105,0.012,0.165,0.028999999999999998,58227,0.047,0.08045187618194487
45,CALUMET HEIGHTS,48826241.5643,48,32925.3658706,15974,13812,13188,0.16386108583560813,0.1537761601455869,0.18895966029723993,0.25606612071580226,11.123748862602366,8.848953594176525,3.7609948437973917,0.4954450262,0.016606005459508643,0.03465271458902032,0.9422202001819836,0.0009857446163178648,0.005535335153169548,11610,0.5553832902670112,0.4868217054263566,0.06856158484065461,0.4446167097329888,0.01834625322997416,0.46098191214470285,10216,0.10503132341425216,0.2592012529365701,0.28445575567736886,0.08330070477682067,0.17443226311667975,0.09357870007830854,0.14066170712607673,0.11853954581049335,0.08711824588880188,0.06714956930305403,0.07086922474549726,0.031617071260767425,497.6765799,5271,3922,1349,773,6044,1612,2114,137,59,161435.1245,12905.589820000001,1.45008019,0.38916237,0.044323528,0.003205162,0.032071222,0.02698524,0.009058926,0.41338164899999996,0.0,0.018809378999999998,0.063002524,0.9318319684561723,0.040036396724294813,12817,0.918865635426145,0.05300272975432211,0.020169851380042462,0.918865635426145,0.034804367606915375,0.0,0.0006066120715802245,0.0,0.0,0.0,0.0,0.01637852593266606,0.001213224143160449,0.679500597,0.707690697,0.35131166799999997,0.748891984,0.0002701006585287243,10.0,57.4,0.09300000000000001,0.75,0.16399999999999998,0.39299999999999996,0.195,0.335,2.166,0.36,0.8140000000000001,0.245,0.139,0.48,0.40399999999999997,0.392,3.832,0.003,11.88,0.027999999999999997,0.12,0.018000000000000002,0.423,0.11199999999999999,28977,0.172,0.2373369730057628
46,ROSELAND,134313706.73,49,56632.7954292,52723,44619,42433,0.26901232531284613,0.18016637994014092,0.18080267716164303,0.1911955317795112,9.379492376216623,6.315839087502652,2.18697711686659,0.39677874189999995,0.010746353074258242,0.01291447694011736,0.9626705630052083,0.0029693870336766196,0.010699219946739566,33891,0.5569620253164557,0.42073116756661055,0.13513912248089463,0.4430379746835442,0.01336638045498805,0.3972441061048656,28152,0.1452472293265132,0.25259306621199207,0.31656720659278204,0.09171639670360898,0.1227976697925547,0.07107843137254902,0.17622193805058256,0.13679312304631996,0.07892867291844274,0.05029838022165387,0.04838022165387894,0.01840011366865587,386.85636860000005,14330,7854,6476,3521,17851,5023,2568,125,103,125708.9878,13113.009409999999,2.053183391,0.369102065,0.059032242,0.005048336,0.023322982000000003,0.10444277800000001,0.0034529079999999998,0.364836759,0.0,0.022784832,0.047977099,0.9225131383592958,0.023189498739188838,40129,0.9078311691372281,0.037871467961256566,0.010439987745386846,0.9078311691372281,0.012490278792449273,0.001602526335635001,0.0006362972215021329,0.0006127306577427945,0.0010840619329295594,0.0003534984563900738,0.0023802229396931635,0.01310300945019207,0.005608842174722504,0.915475897,0.994718531,0.28559249800000003,0.723431498,0.0003159245696740366,14.3,68.8,0.122,0.69,0.128,0.797,0.409,0.435,2.585,0.32,0.955,0.377,0.096,0.703,0.5760000000000001,0.556,3.695,0.019,15.12,0.079,0.195,0.031,0.409,0.174,17974,0.17800000000000002,0.17882308580585865
47,NORTH CENTER,57054167.85,5,31391.6697542,31895,31867,35789,0.24714297689234122,0.2766771913157674,0.27128447288272933,0.12224426499762497,4.515353879683702,2.478415155494705,1.2713403559752998,0.3411271857,0.7702925479896058,0.1171309620274386,0.018664952918494508,0.05004330939674202,0.04386822766771913,27636,0.806484295845998,0.7771385149804603,0.028766825879287885,0.193515704154002,0.06929367491677522,0.701005934288609,25474,0.06194551307215199,0.0842820130328963,0.11458742246996938,0.03112977938290021,0.4196828138494151,0.28837245819266705,0.05299521080317186,0.06634215278322995,0.07619533642144932,0.07788333202480961,0.10705032582240716,0.1882703933422313,1043.5121649999999,14488,7724,6764,1739,16227,199,1118,2240,3818,518979.0576,11369.62313,1.351163559,0.182227015,0.23159007199999998,0.035752071,0.056080915999999995,0.058203609,0.066423389,0.333750132,0.0,0.029525635,0.006447161999999999,0.7995473469501804,0.10913967978987957,32521,0.7677778088239403,0.1409092179161195,0.03976082036379893,0.7677778088239403,0.0749951102294001,0.009947190477521026,0.002905920813657828,0.008605996255832797,0.0025985638045209424,0.002039732878817514,0.005728016988460142,0.03109894101539579,0.002989745452513342,1.0,1.0,0.7391850520000001,0.899149504,0.0006272810795188909,22.4,76.2,0.091,0.804,0.098,0.084,0.01,0.166,1.521,0.261,0.498,0.01,0.027000000000000003,0.424,0.151,0.41600000000000004,1.781,0.009000000000000001,0.8540000000000001,0.019,0.071,0.002,0.255,0.054000000000000006,51615,0.045,0.08265109391153708
48,PULLMAN,59001555.602,50,35572.0695077,8921,7325,6613,0.21094813246635413,0.20867987297746862,0.21246030545894454,0.1961288371389687,10.418871918947529,5.247240284288523,1.5121729925903522,0.40979609930000005,0.10282776349614396,0.04642371087252382,0.8309390594283986,0.0015121729925903524,0.018297293210343263,5476,0.6437180423666911,0.5315924032140248,0.1121256391526662,0.356281957633309,0.013148283418553688,0.4972607742878013,4720,0.11991525423728813,0.25084745762711863,0.27627118644067794,0.06567796610169492,0.19110169491525425,0.09618644067796608,0.21483050847457627,0.2048728813559322,0.09894067796610169,0.06885593220338983,0.04851694915254237,0.017161016949152542,406.6205534,3083,1366,1717,397,3480,872,439,23,32,127712.2642,12261.02564,2.4440824919999997,0.103001245,0.05773801,0.001609995,0.041264445,0.12136634199999999,0.18882132100000001,0.328720718,0.0,0.002037245,0.155440678,0.9021624073794042,0.032814153939210645,6183,0.8682897323453802,0.06668682897323454,0.037199455617722664,0.8682897323453802,0.04657492817178285,0.0,0.0,0.0,0.0,0.0,0.0,0.016633902918493877,0.00347799788295781,0.79032787,0.19531907,0.352966102,0.813081823,0.00011208179059902341,14.3,66.5,0.11199999999999999,0.813,0.121,0.679,0.322,0.34600000000000003,2.625,0.281,0.785,0.321,0.136,0.838,0.929,0.653,3.985,0.037000000000000005,8.291,0.027000000000000003,0.201,0.013999999999999999,0.42,0.156,19007,0.21,0.17178285195826404
49,SOUTH DEERING,303797059.66,51,80389.8718002,16990,15109,14614,0.29533324209661965,0.1662104830983988,0.18865471465717804,0.17934856986451347,9.853565074586013,5.303133981114001,1.888599972628986,0.3847342398,0.04105652114410839,0.31415081428766933,0.6404817298480908,6.842753524018066e-05,0.0042425071848912,11338,0.5577703298641736,0.43279237960839656,0.12497795025577703,0.44222967013582637,0.015787616863644383,0.4058034926794849,9491,0.21694236645242865,0.3246233273627647,0.25613739331998736,0.06753766726372352,0.07006637867453377,0.06469286692656201,0.2101991360236013,0.13539142345379834,0.08808344747655675,0.048466968707196294,0.0339268780950374,0.011695290274997366,340.9375,5009,2943,2066,832,5841,2399,436,64,36,100142.5081,14809.14514,2.2243208709999998,0.059796142000000004,0.00909317,0.001193794,0.009157851,0.005804064,0.092661706,0.651234576,0.0,0.079306522,0.09175217599999999,0.8335158067606404,0.11707951279594911,13892,0.6933762145887505,0.25721910496783906,0.1004516217325852,0.6933762145887505,0.22895853291364446,0.005816340495415355,0.0,0.0,0.0,0.0008895579581223484,6.842753524018066e-05,0.016080470781442452,0.005405775283974271,0.24778686600000002,0.061488827999999995,0.202296913,0.72998591,4.810448138094398e-05,15.8,76.7,0.149,0.769,0.157,0.653,0.413,0.253,2.24,0.325,0.8059999999999999,0.35100000000000003,0.11800000000000001,0.5920000000000001,0.48700000000000004,0.5489999999999999,4.271,0.003,9.07,0.026000000000000002,0.245,0.06,0.414,0.21899999999999997,15506,0.11800000000000001,0.17045299028328997
50,EAST SIDE,83241728.0493,52,52274.1928493,23653,23042,23737,0.3305388212495261,0.20912499473395965,0.17934027046383283,0.1724733538357838,6.142309474659814,3.012175085309854,1.6977714117200993,0.3192320261,0.16181488814930278,0.8043139402620382,0.029279184395669212,0.0027383409866453216,0.0018536462063445255,17732,0.6236747123843898,0.5093616061357997,0.112734040153395,0.3763252876156102,0.005583126550868486,0.499266862170088,14150,0.3045229681978799,0.3464310954063604,0.17575971731448764,0.04402826855123674,0.09583038869257951,0.03342756183745583,0.12226148409893993,0.143886925795053,0.08106007067137808,0.06593639575971731,0.05088339222614842,0.01901060070671378,432.2440087,6834,4573,2262,974,7808,3140,1212,96,118,124292.6716,17741.99071,7.507907812999999,0.24386366,0.042387173,0.006262342,0.030613174,0.052316499999999995,0.058892845,0.38759765700000004,0.0,0.10989157599999999,0.068175072,0.6496608670008847,0.28314445801912624,22142,0.26431309769558076,0.6684922273244303,0.22981000126384965,0.26431309769558076,0.6491553271264272,0.015039811265113535,0.0013902346547583942,0.0,0.0007583098116863968,0.0,0.0,0.0021064161435733245,4.212832287146649e-05,0.7181990770000001,0.717216291,0.173339362,0.756804384,0.00028515746316488933,17.7,85.8,0.064,0.733,0.11,0.53,0.107,0.153,1.829,0.129,0.7390000000000001,0.10099999999999999,0.037000000000000005,0.45899999999999996,0.262,0.33299999999999996,3.985,0.009000000000000001,1.912,0.052000000000000005,0.187,0.083,0.425,0.355,15347,0.145,0.10852255971689767
51,WEST PULLMAN,99365198.0822,53,50023.8430008,36649,29651,27742,0.281594693965828,0.20614952058251027,0.16559728930862952,0.19288443515247639,9.80102371854949,4.246269194722803,1.3265085430033883,0.3624724872,0.005695335592242809,0.06063009155792662,0.9240141301996972,0.0023430178069353325,0.0073174248431980395,21341,0.6042359776955156,0.45232182184527436,0.15191415585024132,0.3957640223044843,0.017056370366899394,0.42134857785483343,17794,0.15685062380577722,0.3080251770259638,0.3068450039339103,0.06828144318309542,0.09705518714173317,0.06294256490952006,0.1868607395751377,0.12515454647634033,0.0858154434078903,0.05102843655164662,0.043048218500618185,0.021580307968978304,381.4449064,9137,5737,3401,2084,11222,4514,1160,30,21,107016.5094,15256.882630000002,2.932943995,0.37521605700000005,0.05123507099999999,0.005439311,0.019740853,0.038494341,0.026482754,0.349977805,9.32e-05,0.038313144,0.095007491,0.8945281522601111,0.03579410280441208,25809,0.8589863744502921,0.07133588061423113,0.03334294571407973,0.8589863744502921,0.06250450580347487,0.0016941821065532406,0.0,0.0003965107057890563,0.0,0.0,0.0,0.002631389229327373,0.004109292769086583,0.600153136,0.797680939,0.228260314,0.7478252590000001,0.0002791923181902218,15.3,71.2,0.149,0.713,0.14400000000000002,0.6779999999999999,0.439,0.203,2.636,0.326,0.8340000000000001,0.465,0.11900000000000001,0.7859999999999999,0.629,0.639,3.972,0.011000000000000001,16.569000000000003,0.092,0.243,0.033,0.42200000000000004,0.226,16228,0.17,0.15373801456275682
52,RIVERDALE,98389497.4143,54,46455.4408571,9809,6482,7394,0.46443061942115227,0.24844468487963214,0.127535839870165,0.11225317825263727,3.097105761428185,0.6491750067622396,0.9872869894509062,0.2165656566,0.020421963754395457,0.04138490668109278,0.930754665945361,0.0031106302407357318,0.004327833378414931,4551,0.6025049439683586,0.3880465831685344,0.2144583607998242,0.3974950560316415,0.007031421665568007,0.36783124588002636,3283,0.208955223880597,0.2899786780383795,0.3831861102650016,0.07584526347852574,0.021017362168748097,0.021017362168748097,0.5105086810843741,0.15473652147426134,0.035942735303076456,0.014011574779165396,0.019189765458422176,0.005178190679256778,133.447099,2428,239,2189,876,3304,230,9,0,0,54625.0,8002.8006510000005,3.995499503,0.09849141300000001,0.022073102,0.000369431,0.012719251,0.025894307999999998,0.11170685400000001,0.506439227,0.002693969,0.119271945,0.1003405,0.8359480659994589,0.026102245063565052,6374,0.8248579929672708,0.03719231809575331,0.018934271030565324,0.8248579929672708,0.03232350554503652,0.0012172031376791995,0.002028671896131999,0.0,0.0,0.0,0.0,0.0,0.001622937516905599,0.0,0.0,0.117879988,0.69833795,7.515029748414338e-05,12.5,46.1,0.153,0.741,0.165,0.645,0.33,0.25,2.583,0.39399999999999996,1.159,0.32799999999999996,0.087,0.861,0.425,0.8059999999999999,,,16.997,0.057999999999999996,0.614,0.051,0.502,0.24600000000000002,8535,0.264,0.047335677576413306
53,HEGEWISCH,145965741.437,55,73692.3821322,9781,9426,9418,0.23688681248672755,0.1951582076874071,0.16914419197281802,0.26969632618390316,6.360161393077086,5.213421108515608,1.3378636653217244,0.4052204176,0.3879804629433001,0.5739010405606286,0.03620726268846889,0.0,0.0019112338076024634,7678,0.6088825214899714,0.5580880437613962,0.05079447772857515,0.39111747851002865,0.0006512112529304506,0.5507944777285751,6667,0.1342432878356082,0.38668066596670164,0.23908804559772012,0.0815959202039898,0.10574471276436177,0.05264736763161841,0.12344382780860957,0.11864406779661017,0.09704514774261287,0.06374681265936703,0.08294585270736463,0.04019799010049498,554.296875,3508,2541,966,444,3952,1529,900,103,10,132118.0556,18224.145809999998,2.96392943,0.111751213,0.010166023,0.002033149,0.014328831,0.005197825,0.08993257800000001,0.466150064,0.0,0.173026001,0.127414316,0.7769165427904013,0.1609683584625186,8833,0.5379061371841155,0.3999787640688044,0.11361223189636865,0.5379061371841155,0.3640900403482693,0.012210660437460184,0.001486515183690805,0.0,0.008069653854321512,0.0,0.0,0.014121894245062647,0.0,0.299633545,0.155798622,0.23986933600000002,0.741112088,6.452198925091533e-05,13.7,73.2,0.077,0.669,0.131,0.47100000000000003,0.069,0.2,2.1,0.16699999999999998,0.8,0.134,0.084,0.579,0.28600000000000003,0.47100000000000003,2.988,0.011000000000000001,,0.021,0.121,0.044000000000000004,0.41600000000000004,0.179,22561,0.096,0.1291144616691442
54,GARFIELD RIDGE,117890778.429,56,60080.4479704,36101,34513,36396,0.253681723266293,0.19090009891196835,0.21131443015716012,0.19743927904165293,7.852511264974173,4.494999450489065,2.318936146829322,0.3868334551,0.44683481701285854,0.4903835586328168,0.04401582591493571,0.009891196834817012,0.008874601604571932,29009,0.645696163259678,0.5847150884208349,0.060981074838843116,0.35430383674032195,0.01106553138681099,0.5574821607087456,25040,0.17959265175718853,0.3108226837060703,0.21960862619808308,0.07887380191693291,0.14193290734824282,0.06916932907348243,0.0738817891373802,0.1018370607028754,0.09165335463258786,0.06058306709265175,0.08925718849840254,0.06841054313099042,682.1192052999999,12160,9871,2308,668,12847,1766,7017,937,132,202440.4304,16655.8203,1.7656479409999999,0.381365532,0.035438355,0.005644896,0.037285938,0.020475518,0.042209900999999994,0.445800081,0.0,0.016326962,0.015452816999999999,0.707989888998791,0.23040993515770963,34154,0.4949719749423014,0.44342784921419937,0.16570502252994834,0.4949719749423014,0.33924057588746015,0.08514671941971645,0.005028025057698648,0.001483679525222552,0.00140125288493241,0.00016485328058028352,2.747554676338059e-05,0.010825365424771954,0.00010990218705352236,0.9612385920000001,0.854935071,0.289873569,0.7933305890000001,0.00030872643717353663,13.4,69.0,0.08,0.8170000000000001,0.095,0.337,0.099,0.31,2.319,0.24600000000000002,0.8029999999999999,0.092,0.045,0.5920000000000001,0.309,0.42200000000000004,3.549,0.001,1.8,0.035,0.09,0.026000000000000002,0.395,0.19399999999999998,24684,0.081,0.1466644686229256
55,ARCHER HEIGHTS,55922505.7212,57,31880.0210295,12644,13393,13142,0.30566123877644197,0.21511185512098618,0.22256886318672958,0.13833510881144423,7.3809161467052204,2.4577689849338,1.9859990868969717,0.333543923,0.1683914168315325,0.7746918277278952,0.008750570689392787,0.04420940496119312,0.0039567797899863035,9871,0.6646742984500051,0.6033836490730422,0.06129064937696282,0.3353257015499949,0.01104244757370074,0.5732955121061696,8184,0.28800097751710657,0.3791544477028348,0.1728983382209189,0.03775659824046921,0.09310850439882698,0.029203323558162263,0.1075268817204301,0.1462609970674487,0.09396383186705767,0.04704301075268817,0.0635386119257087,0.01747311827956989,466.3212435,3894,2110,1784,391,4285,473,1471,147,10,177516.7785,13482.20221,1.504478182,0.13128986,0.05359536,0.014158406,0.041067888999999996,0.029570742999999997,0.259857034,0.43299982200000003,0.0,0.011688034,0.025772852000000002,0.5336326282148836,0.39621062243189775,12220,0.16823923299345608,0.7616040176533252,0.3221731852077309,0.16823923299345608,0.6494445289910211,0.07297215035763202,0.032262973672196014,0.002282757571145944,0.0017501141378785572,0.0,0.0,0.0028914929234515295,0.0,1.0,0.796716085,0.159881895,0.805830495,0.00023500377585938394,18.1,80.0,0.087,0.743,0.1,0.503,0.166,0.252,1.663,0.09,0.677,0.154,0.052000000000000005,0.496,0.205,0.418,5.435,0.005,,0.015,0.13,0.085,0.405,0.364,16145,0.142,0.11824684218535993
56,BRIGHTON PARK,75892790.3114,58,36537.1343061,44912,45368,44813,0.33240354361457614,0.22785798763751589,0.21734764465668444,0.14727869145114142,4.58572289291054,2.0083457925155646,0.9171445785821079,0.3124095212,0.07051525227054649,0.8323700711847009,0.009662374757324883,0.08084707562537656,0.006605226162051191,32913,0.6348251450794519,0.5651566250417768,0.069425454987391,0.3651748549205481,0.005438580500106341,0.5477167076838939,26532,0.4082240313583597,0.317842605156038,0.13304688677823007,0.04225086687773255,0.07285541987034524,0.02578018995929444,0.12758178802954923,0.16387758178802955,0.07907432534298206,0.04349464797225991,0.03233830845771144,0.017752148349163274,405.1336898,12314,6094,6220,1627,13941,2228,3356,403,92,168612.3853,13023.52181,0.9109373059999999,0.141243421,0.174538802,0.015718217,0.045612207,0.026892445,0.15884699800000002,0.400263254,0.0,0.004662363,0.032222292,0.4766250864704438,0.45129761453149764,41583,0.13850891482382344,0.789413786178118,0.3731283332961418,0.13850891482382344,0.697788588132908,0.005377903733291679,0.07214424385780911,0.0009818579430076093,0.005154754200789949,0.0,0.0013165822417602036,0.005578738312543236,0.0010711177560083012,0.945523695,0.623335274,0.14088647699999998,0.7363564459999999,0.0005904776964468594,20.6,90.6,0.07200000000000001,0.8270000000000001,0.083,0.581,0.111,0.268,1.391,0.128,0.6970000000000001,0.106,0.059000000000000004,0.27699999999999997,0.151,0.38299999999999995,5.803999999999999,0.009000000000000001,0.972,0.115,0.23,0.132,0.39799999999999996,0.48200000000000004,13138,0.11199999999999999,0.07511213264008212
