GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,AVG_VMT,OPEN_SPACE_PER_1000,Sfperc,Mfperc,MIXperc,COMMperc,INSTperc,INDperc,TRANSperc,Agperc,OPENperc,VACperc,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct
Gage Park,39193,39894,40873,14538,10199,8429,4992,1800,683,232,28.50899918,1532,37659,1448,193,41,29044,19693,16980,2706,9351,283,16053,23010,9139,8603,2810,1145,953,360,2527,3287,1814,1060,788,196,41138.39286,9672,5336,4336,1050,10722,3137,2061,97,29,133391.6084,15177.46776,0.89778021,0.290085433,0.110725052,0.013201182,0.045310849,0.068439113,0.096200484,0.342754659,0,0.018195576,0.015087651,21185,16294,37479,5000,32479,13973,5000,32104,84,62,61,0,34,2,106,26,1,1,0.10682312,0.783530906
Garfield Ridge,36101,34513,36396,9233,6948,7691,7186,2858,1636,844,38.68334551,16263,17848,1602,360,323,29009,18731,16962,1769,10278,321,16172,25040,4497,7783,5499,1975,3554,1732,1850,2550,2295,1517,2235,1713,68211.92053,12160,9871,2308,668,12847,1766,7017,937,132,202440.4304,16655.8203,1.765647941,0.381365532,0.035438355,0.005644896,0.037285938,0.020475518,0.042209901,0.445800081,0,0.016326962,0.015452817,25768,8386,34154,18015,16139,6031,18015,12347,3099,183,54,51,6,1,394,4,0.961238592,0.854935071,0.289873569,0.793330589
Grand Boulevard,28006,21929,22313,5909,4312,4841,3989,1907,1021,334,37.69596542,603,387,20546,88,689,17566,10682,8735,1935,6884,330,8099,14832,2215,3137,4111,1112,2331,1926,4471,2004,1356,889,762,639,31970.13487,10121,2409,7914,2006,12329,879,953,463,114,193087.1212,9082.341974,3.993456955,0.056005225,0.229204564,0.006567984,0.038042947,0.101187058,0.007341973,0.339672484,0,0.020219273,0.201758491,20185,489,20674,19941,733,222,19941,397,29,26,25,0,0,0,182,74,1,1,0.361987594,0.761223558
Greater Grand Crossing,38619,32602,31766,8605,7036,5599,6278,2282,1187,779,35.68322981,393,450,30556,4,363,24955,13880,10824,3056,11075,447,9977,20762,2893,6088,6623,1748,2180,1230,5760,2694,1792,1051,534,298,27035.42781,12129,4089,8040,3509,15638,2262,1705,25,87,127926.5873,10047.689,1.348821508,0.165479067,0.144387184,0.009346522,0.036001256,0.11250483,0.01810252,0.437281237,0,0.015327927,0.061569457,29147,446,29593,28705,888,384,28705,457,6,4,0,0,1,0,134,286,0.929499642,0.946281383,0.24843464,0.689419976
Hegewisch,9781,9426,9418,2231,1838,1593,2540,599,491,126,40.52204176,3654,5405,341,0,18,7678,4675,4285,390,3003,5,4229,6667,895,2578,1594,544,705,351,823,791,647,425,553,268,55429.6875,3508,2541,966,444,3952,1529,900,103,10,132118.0556,18224.14581,2.96392943,0.111751213,0.010166023,0.002033149,0.014328831,0.005197825,0.089932578,0.466150064,0,0.173026001,0.127414316,7317,1516,8833,5066,3767,1070,5066,3429,115,14,0,76,0,0,133,0,0.299633545,0.155798622,0.239869336,0.741112088
Hermosa,26908,25010,24144,6864,6253,4548,4211,1389,643,236,32.58101852,2205,20469,753,440,277,18519,12795,11852,943,5724,333,11427,15203,5785,3783,2554,817,1514,750,1991,2088,1071,780,718,374,39590.64327,7022,3186,3836,770,7792,505,1997,601,83,228468.2081,13085.14868,0.704651509,0.223112411,0.195513376,0.019251756,0.035209475,0.025484201,0.149175782,0.32808322,0,0.020745517,0.003424262,13664,8471,22135,4251,17884,8442,4251,17000,478,0,119,9,27,104,131,16,1,1,0.20265737,0.795030642
Humboldt Park,65836,56323,56427,18646,13912,10931,8222,2893,1371,452,30.24567739,3480,31676,19849,385,1037,41057,25411,22324,3087,15646,495,21431,32889,9535,9993,6708,1814,3449,1390,6059,4751,2487,1696,1271,549,35941.35802,16813,5959,10854,2814,19627,2365,2758,642,187,165928.0501,10413.44792,1.892664065,0.122197767,0.184570258,0.016700874,0.059036245,0.044720736,0.13963113,0.358280254,0,0.0080168,0.066845937,41011,10342,51353,25273,26080,10599,25273,25212,276,9,194,18,25,128,168,50,1,0.93880195,0.202286479,0.72439135
Hyde Park,29920,25681,26827,5299,9802,4038,4025,2190,1080,393,31.20274527,12453,2246,7366,3559,1203,23926,14730,13741,980,9196,965,12288,17023,578,1171,1978,574,4301,8421,3709,2313,2195,1358,1242,1785,52627.11864,12602,4575,8027,1673,14275,1188,1408,1011,901,264959.0164,7210.298045,15.58916719,0.095511217,0.172056137,0.006235968,0.038700603,0.169456667,0,0.243640694,0,0.269991715,0.004407,20453,5315,25768,18922,6846,1643,18922,1862,257,1809,112,256,249,558,1299,444,1,1,0.781060918,0.719507417
Irving Park,58643,53359,54606,12532,14033,13144,9747,3050,1590,510,35.72197222,22786,23704,1479,4786,1851,44212,31388,29533,1814,12824,1806,27273,38704,5612,8756,6791,2346,10054,5145,3207,5240,3792,2517,2778,2702,59537.67123,20236,9595,10641,2290,22526,1149,3831,2821,1736,291451.0914,12749.05106,1.180333398,0.249267103,0.196261663,0.022959375,0.050651654,0.034570209,0.033295608,0.361320355,0,0.045997364,0.005676669,33962,16632,50594,24492,26102,11538,24492,18296,1754,204,2171,1010,88,567,1773,239,1,1,0.453312319,0.813048424
Jefferson Park,25859,25448,26808,5650,5309,5737,5819,2417,1331,545,40.78052995,17522,5948,236,2476,626,22200,14962,14103,859,7238,381,13314,19787,2185,4991,3949,1621,4617,2424,1707,1889,1812,1673,1945,1333,71459.19421,10359,6559,3800,815,11174,497,2996,2824,215,291623.6162,13924.67335,0.850043272,0.336687766,0.118354176,0.006906382,0.038887655,0.017652679,0.033928005,0.352883677,0,0.089661249,0.005038411,17660,7486,25146,14375,10771,4878,14375,4141,3350,314,456,254,81,905,1229,41,0.976898787,0.998290822,0.437762167,0.835220872
