GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,AVG_VMT,OPEN_SPACE_PER_1000,Sfperc,Mfperc,MIXperc,COMMperc,INSTperc,INDperc,TRANSperc,Agperc,OPENperc,VACperc,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct
Portage Park,65340,64124,64307,14715,14580,13626,13573,4305,2453,1056,37.94751495,32324,26215,901,3260,1607,52439,36593,34010,2555,15847,1032,32604,45040,6870,12982,8748,3569,8452,4420,4257,4704,4586,3147,3322,2673,61392.54837,22689,13010,9679,2331,25021,1483,6388,4782,278,273610.5896,14621.00913,1.144386678,0.370056273,0.15861799,0.016659582,0.057603037,0.035612347,0.008595594,0.320935213,0,0.027694722,0.004225241,40237,20362,60599,26149,34450,14633,26149,20303,7598,240,1846,1106,143,403,2419,391,1,1,0.365013877,0.82630994
Pullman,8921,7325,6613,1395,1380,1405,1297,689,347,100,40.97960993,680,307,5495,10,121,5476,3525,2911,614,1951,72,2723,4720,566,1184,1304,310,902,454,1014,967,467,325,229,81,40662.05534,3083,1366,1717,397,3480,872,439,23,32,127712.2642,12261.02564,2.444082492,0.103001245,0.05773801,0.001609995,0.041264445,0.121366342,0.188821321,0.328720718,0,0.002037245,0.155440678,5966,217,6183,5742,441,246,5742,308,0,0,0,0,0,0,110,23,0.79032787,0.19531907,0.352966102,0.813081823
Riverdale,9809,6482,7394,3434,1837,943,830,229,48,73,21.65656566,151,306,6882,23,32,4551,2742,1766,976,1809,32,1674,3283,686,952,1258,249,69,69,1676,508,118,46,63,17,13344.7099,2428,239,2189,876,3304,230,9,0,0,54625,8002.800651,3.995499503,0.098491413,0.022073102,0.000369431,0.012719251,0.025894308,0.111706854,0.506439227,0.002693969,0.119271945,0.1003405,6181,193,6374,6099,275,140,6099,239,9,15,0,0,0,0,0,12,0,0,0.117879988,0.69833795
Rogers Park,63484,54991,55062,11632,17116,12560,8945,2757,1363,689,33.972649,23754,12072,14521,2792,1923,46136,32411,29897,2483,13725,1642,27807,38080,5231,7689,7262,1752,9434,6712,8179,6346,3843,2275,2115,1330,39106.1828,24088,5746,18342,3485,27573,1903,2355,1030,425,192278.5548,7580.681501,1.39357587,0.124047504,0.316890006,0.018549535,0.051667977,0.068269668,0.042422128,0.315602446,0,0.058718759,0.003831977,37045,14829,51874,32128,19746,8712,32128,10610,1450,453,210,611,139,480,2966,2827,1,1,0.470010504,0.794075762
Roseland,52723,44619,42433,11415,7645,7672,8113,3980,2680,928,39.67787419,456,548,40849,126,454,33891,18876,14259,4580,15015,453,13463,28152,4089,7111,8912,2582,3457,2001,4961,3851,2222,1416,1362,518,38685.63686,14330,7854,6476,3521,17851,5023,2568,125,103,125708.9878,13113.00941,2.053183391,0.369102065,0.059032242,0.005048336,0.023322982,0.104442778,0.003452908,0.364836759,0,0.022784832,0.047977099,39145,984,40129,38522,1607,443,38522,530,68,27,26,46,15,101,556,238,0.915475897,0.994718531,0.285592498,0.723431498
South Chicago,38596,31198,28263,8331,5665,5017,4996,2161,1811,282,35.43152866,791,5885,21317,15,255,21701,12909,10283,2626,8792,221,9760,17481,3287,5882,4436,1321,1672,883,4482,2765,1538,814,582,225,29580.68615,10406,4023,6383,3716,14122,2604,1123,132,109,119124.424,10708.90794,2.463540364,0.171513638,0.126718318,0.01126902,0.030754781,0.034227959,0.01610118,0.295155613,0,0.029379253,0.284880238,23523,2528,26051,20937,5114,2009,20937,4422,47,15,0,12,0,0,266,352,0.877886886,0.883609608,0.221726446,0.735106519
South Deering,16990,15109,14614,4316,2429,2757,2621,1440,775,276,38.47342398,600,4591,9360,1,62,11338,6324,4907,1417,5014,179,4601,9491,2059,3081,2431,641,665,614,1995,1285,836,460,322,111,34093.75,5009,2943,2066,832,5841,2399,436,64,36,100142.5081,14809.14514,2.224320871,0.059796142,0.00909317,0.001193794,0.009157851,0.005804064,0.092661706,0.651234576,0,0.079306522,0.091752176,12181,1711,13892,10133,3759,1468,10133,3346,85,0,0,0,13,1,235,79,0.247786866,0.061488828,0.202296913,0.72998591
South Lawndale,91071,79288,74851,24170,19863,15693,10158,2935,1476,556,29.75836288,2856,62512,9101,142,240,55816,28221,25763,2458,27595,793,24684,43599,21534,12326,4781,1748,2428,782,6533,5980,2763,1163,1086,299,32896.0396,17824,6363,11461,3141,20965,3070,3102,170,21,151835.0889,11382.27165,1.370382396,0.08103424,0.14873479,0.014631492,0.036603254,0.108277164,0.166294307,0.359886428,0,0.0087562,0.075782124,40421,28772,69193,15467,53726,25195,15467,53312,120,0,7,59,46,20,147,15,0.935863083,0.820481233,0.113718205,0.583322396
South Shore,61556,52010,50418,13107,10186,9773,10437,3663,2373,879,37.85884811,1459,660,47315,270,714,39871,22835,18598,4237,17036,788,17529,33618,3804,8031,10485,2791,4890,3617,11524,4604,2750,1639,1471,666,24344.64405,22654,4985,17669,6570,29224,2172,1867,735,204,163274.7069,8713.419463,4.046043422,0.198804367,0.248092924,0.010464647,0.050344819,0.038404554,0.007728438,0.325247494,3.83E-05,0.077103196,0.043771218,45141,1623,46764,44200,2564,952,44200,868,56,9,98,21,37,126,549,800,1,0.996569079,0.327795962,0.696620984
Loop,16388,29283,35880,5318,14755,6846,5317,2387,1043,214,32.85972306,22244,2471,3945,6226,994,33638,24030,22828,1096,9608,1847,20744,27133,486,1357,2600,1119,10390,11181,2712,1817,2213,2564,3892,6018,103336.2793,19216,7613,11603,3820,23036,557,1548,3024,1957,379579.4134,6561.024298,6.000649128,0.007196683,0.075970362,0.000683806,0.201401369,0.032174467,0.000574432,0.40149001,0,0.235920825,0.044588046,26295,8256,34551,25564,8987,2037,25564,1702,917,1611,265,249,459,799,2728,257,1,1,0.83625106,0.803217178
Uptown,63551,56362,57973,7430,19857,13238,10339,3723,2170,1216,36.80184478,31602,8324,10487,5812,1748,51647,36790,34325,2423,14857,2204,31736,46039,4499,7429,6113,2270,16537,9191,8667,6067,4416,3100,3565,3526,49680.90452,29341,8794,20547,3258,32599,1629,3601,2604,914,267795.3348,6887.604039,5.927515986,0.056986878,0.23693228,0.015989373,0.046728924,0.163844779,0.005896443,0.229145373,0,0.238954442,0.005521509,40512,14913,55425,34939,20486,9292,34939,7370,2172,513,702,657,490,1647,3663,3272,0.999962209,0.897579622,0.60813658,0.81857531
Washington Heights,29843,26493,27453,6238,5350,4794,6026,2518,1830,697,41.95731707,183,215,26293,8,754,22881,13405,10943,2444,9476,357,10398,19000,1964,5540,5840,1517,2591,1548,3059,2098,1565,1194,1159,495,44706.60147,9570,6497,3073,900,10470,3671,2493,246,87,135822.1477,13514.48278,1.840528259,0.435259067,0.037716256,0.005421303,0.030388966,0.046209574,0.020042331,0.369826904,0,0.026843844,0.028291755,25850,445,26295,25740,555,151,25740,282,13,6,0,1,0,8,245,0,0.913551331,0.911109781,0.29768421,0.763636364
Washington Park,14146,11717,11502,4288,2736,1931,1697,419,226,205,29.23340961,85,278,10760,14,365,7870,4757,3651,1106,3113,132,3380,6491,1152,2025,1812,336,805,361,2151,1133,572,217,219,42,25384.61538,4334,584,3750,1342,5676,301,199,57,27,129545.4545,6788.037152,8.810363887,0.015714991,0.132480835,0.005287431,0.021456036,0.047957518,0.009353165,0.236195831,0,0.358779002,0.172775191,9969,166,10135,9684,451,159,9684,337,0,0,6,0,0,5,70,33,1,0.896178969,0.231397319,0.709302326
West Elsdon,15921,18109,19237,6252,4404,4088,2678,1181,388,247,31.0600304,2727,15840,266,380,24,14482,9596,8466,1130,4886,156,7973,11424,3113,4397,1920,781,902,310,855,1475,1172,586,855,200,54849.39759,5143,3668,1475,326,5469,1230,2256,135,48,167365.0976,14970.67865,1.336580397,0.451730252,0.055629539,0.006684688,0.062774539,0.020345065,0.046930555,0.319186011,0,0.021384719,0.01533463,10923,7212,18135,3217,14918,5704,3217,13602,874,311,4,10,0,1,80,36,1,1,0.17459016,0.776174057
West Englewood,45282,35505,29929,8103,6029,5382,5237,3026,1624,528,37.59831461,289,1918,27304,4,414,23392,12258,8386,3872,11134,245,7946,19916,4195,8436,4525,1144,1049,567,4438,2666,1351,505,445,237,28006.27943,9642,4481,5161,3247,12889,3403,969,7,78,91840.39088,9909.649449,2.156587461,0.247952864,0.098745145,0.009180927,0.025515228,0.047332367,0.020978683,0.37373789,0,0.04060826,0.135948635,27082,829,27911,26228,1683,751,26228,1586,6,11,8,0,0,0,43,29,0.951842398,0.780699583,0.138582045,0.669329649
West Garfield Park,23019,18001,17163,5994,3621,2930,2681,888,804,244,29.1840836,384,356,16206,44,172,12258,5705,4565,1140,6553,164,4279,9623,2652,3574,2363,549,350,133,2826,1186,747,363,160,54,23250,5336,1375,3961,2137,7473,741,547,76,11,127708.3333,8356.896852,3.174896915,0.061184394,0.229847899,0.011499365,0.044268957,0.053820726,0.047036357,0.402697802,0,0.005942076,0.143702425,15269,121,15390,14987,403,135,14987,329,0,0,0,0,0,5,60,9,1,1,0.107311926,0.579680376
West Lawn,29235,33355,33108,11067,7535,6990,4642,1748,805,321,31.22836096,5033,26666,1152,185,72,24565,16394,14241,2153,8171,168,13401,19893,6142,7064,3399,1086,1694,508,1729,2718,1959,948,1249,385,50497.88136,8988,6375,2613,819,9807,2343,3890,71,55,164654.8704,15456.89256,1.543797146,0.325654761,0.044711071,0.005712235,0.089523087,0.055976738,0.102081044,0.336926609,0,0.018866835,0.020547618,19434,11409,30843,7997,22846,8877,7997,21909,491,0,47,135,0,8,256,0,0.973451437,0.494998588,0.165284271,0.787342829
West Pullman,36649,29651,27742,7812,5719,4594,5351,2719,1178,368,36.24724872,158,1682,25634,65,203,21341,12895,9653,3242,8446,364,8992,17794,2791,5481,5460,1215,1727,1120,3325,2227,1527,908,766,384,38144.49064,9137,5737,3401,2084,11222,4514,1160,30,21,107016.5094,15256.88263,2.932943995,0.375216057,0.051235071,0.005439311,0.019740853,0.038494341,0.026482754,0.349977805,9.32E-05,0.038313144,0.095007491,24816,993,25809,23830,1979,925,23830,1734,47,0,11,0,0,0,73,114,0.600153136,0.797680939,0.228260314,0.747825259
West Ridge,73199,71942,76215,20756,17065,15001,13648,5461,2914,1370,35.25100753,32173,14256,9201,17200,3385,58939,38121,34858,3263,20818,1084,33060,51002,8914,11080,7979,2776,12747,7506,5889,6740,4217,2675,3279,2394,49855.33454,25194,11738,13456,2991,28185,3321,3691,3655,1050,247506.3939,12110.68445,2.95752177,0.244835323,0.22646007,0.01209706,0.061967847,0.074809337,0.001143645,0.290145789,0,0.083434952,0.005105979,37684,32603,70287,29206,41081,19659,29206,10811,3303,779,1688,2957,570,2710,13341,4922,1,1,0.451531313,0.771929824
West Town,87435,82236,84502,13570,37651,19528,8662,3234,1429,428,32.1312524,51498,21219,5630,3725,2430,72837,60234,57405,2829,12603,4046,52365,65691,5883,6788,7359,2391,27327,15943,5737,5185,5289,4639,6707,9972,88761.04764,37529,14808,22721,3367,40896,565,2459,6192,5333,420916.4969,10259.55295,1.627062201,0.076534338,0.234084583,0.04708703,0.055349687,0.045305866,0.065131311,0.37082375,0,0.082668336,0.023015098,66336,12859,79195,57303,21892,9033,57303,14308,4020,355,358,106,268,358,1891,228,1,0.999831688,0.694455602,0.896667181
Woodlawn,27086,23740,23268,7435,5216,3971,4013,1693,642,298,31.53846154,2051,695,19279,711,532,18010,9437,7773,1664,8573,449,7127,13462,1913,2957,3699,1323,1875,1695,4609,1968,1010,718,611,331,25122.2597,9247,1970,7277,2763,12010,899,844,187,40,158884.2975,8098.715749,7.808502817,0.048228951,0.191460256,0.004842968,0.026756925,0.106598862,0.00284076,0.257392418,0,0.269657388,0.092221472,20228,1196,21424,19669,1755,495,19669,507,49,318,35,9,53,60,404,320,1,0.9799779,0.38417743,0.674900071
